cash_assistance_id,beneficiary_id,project_id,country,amount,currency,payment_method,payment_date
139,4631,9,Uganda,45.29,USD,Cash,2025-12-09
140,2912,15,Somalia,290.52,USD,Cash,2026-03-24
141,586,14,Ethiopia,147.84,USD,Cash,2026-01-09
142,82,28,South Sudan,61.31,USD,Mobile Money,2026-04-16
143,37,16,Somalia,430.25,USD,Bank Transfer,2025-12-05
144,4844,11,Somalia,123.2,USD,Voucher,2026-03-13
145,1328,17,Ethiopia,448.67,USD,Cash,2025-03-14
146,1901,26,Somalia,313.05,USD,Mobile Money,2026-05-10
147,831,11,Somalia,30.3,USD,Voucher,2026-07-14
148,3980,15,Kenya,247.69,USD,Mobile Money,2024-08-26
149,4254,15,South Sudan,110.4,USD,Mobile Money,2024-11-13
150,264,30,Ethiopia,370.08,USD,Bank Transfer,2024-12-18
151,659,11,South Sudan,475.58,USD,Cash,2024-11-07
152,2006,16,Somalia,480.24,USD,Bank Transfer,2024-12-24
153,3429,12,Kenya,283.95,USD,Mobile Money,2026-04-12
154,1313,10,Kenya,479.64,USD,Voucher,2024-10-11
155,4033,29,Somalia,458.88,USD,Cash,2025-11-29
156,768,9,Uganda,283.69,USD,Mobile Money,2024-11-03
157,2791,13,South Sudan,157.57,USD,Mobile Money,2025-06-04
158,576,13,Kenya,476.23,USD,Mobile Money,2025-06-08
159,4848,4,Kenya,382.66,USD,Bank Transfer,2025-12-19
160,2681,7,South Sudan,101.85,USD,Voucher,2025-06-19
161,4883,8,Somalia,236.38,USD,Bank Transfer,2025-10-10
162,619,5,Uganda,139.24,USD,Voucher,2025-02-02
163,3351,17,Somalia,475.57,USD,Mobile Money,2024-10-11
164,2939,18,Kenya,27.23,USD,Voucher,2024-09-13
165,2166,26,Somalia,408.29,USD,Bank Transfer,2025-06-24
166,1739,10,Ethiopia,181.36,USD,Bank Transfer,2024-10-08
167,3168,25,Kenya,387.95,USD,Bank Transfer,2025-08-06
168,4105,29,Ethiopia,238.32,USD,Voucher,2026-06-15
169,1268,1,South Sudan,385.6,USD,Cash,2025-01-12
170,4708,18,Kenya,306.54,USD,Mobile Money,2025-06-29
171,3211,10,Kenya,128.27,USD,Bank Transfer,2025-01-26
172,3026,8,Ethiopia,412.38,USD,Bank Transfer,2025-02-27
173,3498,5,Kenya,82.4,USD,Cash,2026-06-22
174,34,22,Uganda,215.48,USD,Bank Transfer,2026-04-20
175,902,15,South Sudan,227.79,USD,Voucher,2025-06-16
176,2159,27,South Sudan,113.21,USD,Voucher,2026-04-30
177,2939,1,Kenya,322.4,USD,Mobile Money,2026-05-29
178,3323,8,Uganda,186.47,USD,Mobile Money,2026-01-09
179,479,26,Kenya,389.96,USD,Mobile Money,2025-03-29
180,1412,7,Uganda,59.11,USD,Mobile Money,2026-03-15
181,3230,28,Uganda,308.89,USD,Mobile Money,2025-07-13
182,2992,24,South Sudan,60.46,USD,Cash,2026-05-09
183,4077,23,Kenya,160.86,USD,Bank Transfer,2025-09-06
184,1708,8,South Sudan,341.68,USD,Bank Transfer,2025-06-17
185,2586,5,Ethiopia,64.58,USD,Bank Transfer,2024-12-09
186,4397,14,South Sudan,330.86,USD,Mobile Money,2025-01-09
187,3975,2,Somalia,381.54,USD,Cash,2025-01-01
188,276,6,Uganda,494.43,USD,Mobile Money,2026-07-05
189,754,4,Kenya,43.23,USD,Bank Transfer,2025-08-13
190,4838,1,South Sudan,421.4,USD,Mobile Money,2026-05-13
191,237,13,Kenya,316.72,USD,Bank Transfer,2024-09-14
192,552,10,Somalia,269.61,USD,Voucher,2025-08-10
193,3483,5,Ethiopia,110.14,USD,Bank Transfer,2025-02-25
194,3407,2,South Sudan,421.67,USD,Bank Transfer,2024-12-31
195,4976,14,Kenya,124.23,USD,Mobile Money,2024-11-11
196,1892,22,Uganda,265.88,USD,Mobile Money,2025-02-15
197,863,30,Uganda,105.62,USD,Cash,2025-11-13
198,1449,17,South Sudan,87.3,USD,Voucher,2025-11-08
199,4239,3,Uganda,185.59,USD,Voucher,2025-09-16
200,755,28,Somalia,473.48,USD,Voucher,2026-05-21
201,1960,7,Uganda,35.96,USD,Voucher,2025-09-15
202,2364,25,Kenya,388.23,USD,Mobile Money,2024-12-30
203,2723,12,Somalia,348.03,USD,Cash,2025-09-22
204,135,19,Kenya,170.85,USD,Bank Transfer,2025-05-31
205,74,11,Ethiopia,163.36,USD,Bank Transfer,2024-12-06
206,1599,22,South Sudan,344.6,USD,Mobile Money,2025-06-01
207,1527,9,Uganda,173.67,USD,Voucher,2026-05-27
208,2266,8,Uganda,272.85,USD,Bank Transfer,2024-08-09
209,1453,22,Kenya,316.55,USD,Cash,2025-03-14
210,1834,15,Somalia,432.87,USD,Voucher,2024-08-13
211,2717,27,Uganda,349.03,USD,Cash,2026-04-29
212,2067,7,Ethiopia,353.9,USD,Cash,2026-07-05
213,1623,19,Kenya,65.97,USD,Mobile Money,2025-05-03
214,3891,27,South Sudan,461.4,USD,Mobile Money,2025-02-19
215,2478,29,Uganda,422.29,USD,Mobile Money,2026-01-01
216,2391,24,South Sudan,379.19,USD,Bank Transfer,2025-04-06
217,3148,27,South Sudan,403.09,USD,Bank Transfer,2025-08-07
218,2645,15,Somalia,218.89,USD,Voucher,2025-09-10
219,3910,19,Uganda,146.56,USD,Bank Transfer,2026-03-25
220,2865,16,South Sudan,22.69,USD,Voucher,2025-03-10
221,608,25,Kenya,227.4,USD,Cash,2026-04-11
222,4090,7,South Sudan,155.15,USD,Cash,2026-04-08
223,1469,6,Ethiopia,489.84,USD,Mobile Money,2025-03-03
224,1919,26,Kenya,169.36,USD,Voucher,2025-09-05
225,755,24,South Sudan,355.11,USD,Voucher,2025-01-14
226,3513,7,Uganda,385.17,USD,Cash,2026-02-21
227,119,25,South Sudan,306.4,USD,Mobile Money,2024-11-28
228,1113,6,Ethiopia,368.07,USD,Voucher,2025-08-12
229,2580,2,Uganda,499.05,USD,Mobile Money,2025-05-31
230,3874,22,Kenya,241.17,USD,Mobile Money,2026-04-10
231,2986,13,Somalia,156.72,USD,Bank Transfer,2026-07-04
232,221,13,Kenya,452.64,USD,Cash,2025-07-22
233,4452,30,Somalia,81.44,USD,Mobile Money,2025-10-13
234,1871,23,South Sudan,229.84,USD,Cash,2024-10-20
235,1608,2,Kenya,72.83,USD,Cash,2024-10-03
236,4158,30,Uganda,218.6,USD,Voucher,2024-10-05
237,403,8,South Sudan,409.12,USD,Bank Transfer,2025-05-22
238,975,7,Ethiopia,476.03,USD,Bank Transfer,2024-12-18
239,810,3,South Sudan,179.27,USD,Mobile Money,2025-08-02
240,100,20,South Sudan,43.7,USD,Mobile Money,2026-06-08
241,2688,8,Kenya,250.31,USD,Mobile Money,2024-10-28
242,4979,14,Kenya,228.68,USD,Voucher,2024-09-18
243,4797,3,Kenya,473.35,USD,Mobile Money,2024-09-25
244,2579,26,South Sudan,443.91,USD,Bank Transfer,2026-02-24
245,2990,4,South Sudan,143.94,USD,Mobile Money,2025-06-18
246,3876,16,Somalia,200.33,USD,Voucher,2024-12-14
247,2371,11,South Sudan,478.13,USD,Cash,2024-09-09
248,1264,11,South Sudan,111.44,USD,Mobile Money,2026-01-13
249,590,13,Ethiopia,387.31,USD,Mobile Money,2025-11-06
250,4408,1,Uganda,478.89,USD,Bank Transfer,2024-12-21
251,1825,22,South Sudan,454.15,USD,Cash,2025-10-03
252,4146,23,Somalia,175.54,USD,Cash,2024-08-06
253,1089,28,Ethiopia,480.38,USD,Mobile Money,2025-10-03
254,2747,2,Kenya,290.86,USD,Mobile Money,2026-02-28
255,2243,20,Uganda,287.68,USD,Voucher,2024-08-13
256,2225,17,Ethiopia,282.48,USD,Voucher,2025-05-18
257,4344,17,Somalia,248.06,USD,Mobile Money,2025-04-25
258,1104,19,South Sudan,258.99,USD,Cash,2025-05-15
259,1718,25,Kenya,107.55,USD,Cash,2025-08-08
260,3498,5,Kenya,299.3,USD,Cash,2024-08-25
261,2343,17,Ethiopia,88.77,USD,Cash,2025-07-10
262,563,11,Kenya,374.24,USD,Voucher,2025-08-06
263,3721,19,Ethiopia,454.17,USD,Bank Transfer,2025-04-25
264,1151,28,Kenya,320.16,USD,Cash,2025-05-10
265,3652,13,Somalia,186.49,USD,Cash,2025-06-26
266,224,27,South Sudan,405.23,USD,Voucher,2026-01-28
267,1994,4,Somalia,277.09,USD,Bank Transfer,2024-08-21
268,1098,28,Uganda,112.22,USD,Voucher,2025-06-09
269,685,6,Ethiopia,78.38,USD,Cash,2026-01-02
270,4583,16,Uganda,132.6,USD,Bank Transfer,2026-05-12
271,3611,6,South Sudan,20.45,USD,Mobile Money,2026-05-24
272,1573,9,Kenya,410.68,USD,Mobile Money,2025-06-12
273,3027,15,Ethiopia,474.23,USD,Mobile Money,2025-08-17
274,1213,10,Kenya,255.69,USD,Bank Transfer,2025-07-08
275,4559,24,Ethiopia,415.61,USD,Mobile Money,2026-01-24
276,892,24,Kenya,194.71,USD,Mobile Money,2025-10-14
277,3765,14,Kenya,492.02,USD,Bank Transfer,2026-05-05
278,1802,24,Ethiopia,189.3,USD,Mobile Money,2026-03-17
279,1787,30,Kenya,382.0,USD,Cash,2024-07-19
280,4064,24,Somalia,395.96,USD,Bank Transfer,2024-08-03
281,3937,20,Kenya,490.16,USD,Mobile Money,2026-04-21
282,1551,6,Kenya,441.39,USD,Mobile Money,2026-05-28
283,4477,8,South Sudan,486.45,USD,Bank Transfer,2025-06-28
284,3625,3,Uganda,154.95,USD,Bank Transfer,2025-09-27
285,1039,3,South Sudan,404.85,USD,Mobile Money,2025-03-16
286,91,7,Kenya,159.48,USD,Voucher,2026-06-12
287,1442,3,Uganda,443.3,USD,Mobile Money,2025-09-08
288,4167,26,Kenya,180.17,USD,Cash,2025-09-30
289,1987,13,Ethiopia,46.05,USD,Bank Transfer,2026-06-18
290,4866,24,South Sudan,151.35,USD,Cash,2025-02-23
291,3912,22,South Sudan,382.85,USD,Voucher,2025-06-04
292,1363,27,Kenya,171.36,USD,Cash,2026-03-07
293,740,30,Ethiopia,229.77,USD,Mobile Money,2026-05-04
294,3443,8,Ethiopia,43.58,USD,Voucher,2026-03-30
295,3004,12,Ethiopia,445.92,USD,Voucher,2025-01-05
296,3779,8,South Sudan,31.32,USD,Voucher,2026-01-11
297,3999,5,Kenya,207.79,USD,Mobile Money,2025-02-25
298,4663,7,Somalia,205.38,USD,Mobile Money,2025-10-25
299,2418,28,Ethiopia,412.63,USD,Mobile Money,2026-07-08
300,2461,24,Uganda,303.16,USD,Mobile Money,2024-10-03
301,2220,18,Somalia,273.23,USD,Bank Transfer,2025-11-18
302,4106,21,Ethiopia,63.12,USD,Mobile Money,2025-10-15
303,1642,28,Somalia,106.26,USD,Mobile Money,2024-11-13
304,358,25,South Sudan,33.56,USD,Voucher,2025-02-12
305,3438,3,Somalia,286.69,USD,Cash,2025-05-10
306,4007,26,Uganda,96.59,USD,Voucher,2025-05-31
307,2017,28,Somalia,149.54,USD,Mobile Money,2025-10-01
308,2806,26,Somalia,284.45,USD,Mobile Money,2025-02-10
309,1148,22,Uganda,390.37,USD,Cash,2026-06-02
310,4230,11,South Sudan,317.55,USD,Cash,2026-03-24
311,4909,25,Kenya,200.89,USD,Cash,2025-06-05
312,1721,24,Kenya,257.82,USD,Cash,2026-01-12
313,225,29,Ethiopia,65.67,USD,Mobile Money,2025-11-13
314,3363,17,Somalia,391.33,USD,Mobile Money,2025-04-25
315,1562,27,Ethiopia,355.61,USD,Bank Transfer,2025-04-27
316,1929,30,Uganda,204.63,USD,Voucher,2025-08-05
317,2966,23,South Sudan,66.53,USD,Voucher,2026-06-25
318,3219,12,South Sudan,477.47,USD,Mobile Money,2025-03-24
319,4741,20,South Sudan,432.46,USD,Cash,2026-07-07
320,4677,4,South Sudan,187.11,USD,Voucher,2025-05-09
321,4463,1,South Sudan,95.75,USD,Cash,2025-04-21
322,4508,24,Somalia,34.76,USD,Bank Transfer,2026-02-12
323,1606,29,Somalia,189.13,USD,Cash,2026-05-29
324,4004,10,Kenya,62.91,USD,Voucher,2024-08-01
325,740,21,Somalia,229.53,USD,Voucher,2026-06-27
326,4202,13,South Sudan,244.77,USD,Voucher,2025-03-18
327,518,3,Kenya,368.21,USD,Cash,2026-04-15
328,3556,2,Ethiopia,59.14,USD,Mobile Money,2024-10-18
329,2645,6,Kenya,487.08,USD,Voucher,2024-10-02
330,2867,11,Ethiopia,472.41,USD,Bank Transfer,2025-12-17
331,4798,13,Somalia,164.51,USD,Bank Transfer,2025-09-11
332,467,25,Somalia,149.61,USD,Cash,2026-04-26
333,4970,19,Somalia,496.07,USD,Mobile Money,2025-08-15
334,832,19,Kenya,73.54,USD,Voucher,2026-05-13
335,2074,12,Kenya,76.23,USD,Voucher,2025-10-05
336,3629,8,South Sudan,450.82,USD,Cash,2026-01-16
337,2757,25,Ethiopia,65.57,USD,Voucher,2026-06-22
338,2804,23,Somalia,419.11,USD,Mobile Money,2025-06-07
339,102,7,Somalia,101.06,USD,Mobile Money,2025-03-30
340,459,7,Kenya,155.5,USD,Voucher,2024-10-30
341,2277,15,Kenya,405.57,USD,Cash,2024-08-13
342,2892,10,South Sudan,319.83,USD,Cash,2025-09-18
343,2425,29,Ethiopia,373.58,USD,Cash,2025-01-31
344,3208,14,Ethiopia,316.39,USD,Voucher,2025-02-10
345,436,28,Ethiopia,303.1,USD,Mobile Money,2025-10-31
346,2473,24,Kenya,166.37,USD,Cash,2024-11-13
347,2916,7,South Sudan,52.63,USD,Voucher,2024-09-14
348,2740,9,South Sudan,58.31,USD,Mobile Money,2026-04-14
349,411,9,South Sudan,92.31,USD,Mobile Money,2024-09-05
350,2698,4,Ethiopia,20.69,USD,Voucher,2025-04-04
351,3678,5,Ethiopia,119.57,USD,Voucher,2026-07-03
352,2847,24,Kenya,110.71,USD,Voucher,2026-03-08
353,2277,10,Ethiopia,21.47,USD,Voucher,2026-06-13
354,1419,6,Ethiopia,332.33,USD,Bank Transfer,2026-05-17
355,4940,7,South Sudan,156.65,USD,Voucher,2026-05-15
356,1452,7,Somalia,475.74,USD,Cash,2026-06-20
357,1626,6,Ethiopia,388.16,USD,Cash,2026-01-31
358,768,6,South Sudan,20.8,USD,Mobile Money,2026-02-26
359,481,1,Uganda,117.27,USD,Voucher,2025-05-26
360,3662,30,Somalia,297.68,USD,Mobile Money,2024-08-31
361,218,27,Ethiopia,24.54,USD,Mobile Money,2025-12-04
362,1369,29,Kenya,176.16,USD,Cash,2025-06-25
363,1491,9,South Sudan,273.37,USD,Mobile Money,2025-12-27
364,1243,9,Ethiopia,82.49,USD,Bank Transfer,2024-08-31
365,2759,27,Somalia,201.89,USD,Cash,2025-05-11
366,333,30,Uganda,235.31,USD,Bank Transfer,2024-10-12
367,3000,27,Ethiopia,75.07,USD,Bank Transfer,2025-09-05
368,3884,16,South Sudan,461.17,USD,Cash,2026-07-10
369,3533,7,Somalia,32.28,USD,Mobile Money,2026-03-11
370,423,4,South Sudan,364.24,USD,Mobile Money,2025-02-10
371,2361,3,Ethiopia,159.68,USD,Bank Transfer,2024-10-21
372,3707,10,Somalia,359.55,USD,Mobile Money,2025-09-23
373,3399,30,Kenya,116.41,USD,Bank Transfer,2024-09-05
374,3635,11,Uganda,489.74,USD,Bank Transfer,2026-06-07
375,2203,6,Ethiopia,474.16,USD,Voucher,2024-07-19
376,3751,14,Kenya,469.58,USD,Mobile Money,2024-07-24
377,203,26,Uganda,198.0,USD,Cash,2024-10-06
378,4276,22,Uganda,338.55,USD,Bank Transfer,2026-02-20
379,4562,30,Somalia,238.95,USD,Bank Transfer,2025-07-12
380,871,14,South Sudan,271.98,USD,Cash,2025-07-02
381,609,13,South Sudan,175.37,USD,Mobile Money,2026-06-02
382,4387,24,Kenya,402.43,USD,Mobile Money,2026-01-05
383,3993,30,Uganda,474.7,USD,Voucher,2025-12-02
384,1518,22,Uganda,50.91,USD,Voucher,2024-12-01
385,1105,1,Kenya,461.22,USD,Cash,2025-10-10
386,2633,20,Somalia,252.51,USD,Voucher,2025-09-19
387,694,1,Uganda,171.67,USD,Mobile Money,2026-05-23
388,3462,2,South Sudan,492.32,USD,Bank Transfer,2024-12-01
389,1428,1,Ethiopia,280.14,USD,Voucher,2026-05-29
390,2257,24,Kenya,28.06,USD,Voucher,2025-09-15
391,4786,28,Uganda,244.56,USD,Voucher,2025-04-25
392,2284,10,Uganda,154.4,USD,Bank Transfer,2025-11-09
393,3927,12,Ethiopia,97.03,USD,Bank Transfer,2025-10-05
394,1771,15,South Sudan,346.64,USD,Bank Transfer,2025-01-21
395,4902,5,Kenya,437.81,USD,Voucher,2025-07-02
396,1203,8,Uganda,459.89,USD,Bank Transfer,2026-07-15
397,2577,9,Somalia,83.41,USD,Voucher,2026-06-20
398,2655,28,Somalia,24.24,USD,Cash,2024-09-28
399,1283,27,Uganda,374.23,USD,Mobile Money,2026-05-03
400,2654,8,Ethiopia,322.56,USD,Voucher,2026-06-15
401,276,14,Uganda,325.52,USD,Mobile Money,2025-02-09
402,2446,4,Kenya,368.19,USD,Voucher,2024-07-30
403,2062,23,South Sudan,235.32,USD,Bank Transfer,2024-09-30
404,4281,7,Uganda,410.19,USD,Cash,2026-01-27
405,4473,2,Uganda,85.28,USD,Bank Transfer,2026-05-02
406,47,2,Uganda,32.91,USD,Voucher,2025-05-25
407,2410,5,Kenya,169.51,USD,Bank Transfer,2025-07-05
408,1530,17,South Sudan,310.5,USD,Bank Transfer,2025-09-03
409,269,20,Kenya,77.16,USD,Bank Transfer,2024-08-17
410,226,12,Ethiopia,203.86,USD,Cash,2024-10-24
411,2807,14,Ethiopia,190.54,USD,Bank Transfer,2025-09-11
412,4329,11,Kenya,300.68,USD,Cash,2025-04-25
413,2372,28,Somalia,116.04,USD,Cash,2025-06-19
414,1127,20,South Sudan,422.53,USD,Cash,2026-04-01
415,2020,4,Uganda,406.12,USD,Voucher,2024-11-16
416,468,8,South Sudan,204.41,USD,Bank Transfer,2026-04-12
417,4456,9,Somalia,410.44,USD,Mobile Money,2025-03-20
418,2257,12,Uganda,238.25,USD,Mobile Money,2026-07-04
419,4811,27,Kenya,176.64,USD,Voucher,2024-09-18
420,1147,21,Ethiopia,328.9,USD,Cash,2024-09-01
421,2376,14,Kenya,392.45,USD,Voucher,2025-09-26
422,3231,30,Ethiopia,469.4,USD,Cash,2026-05-01
423,1108,10,South Sudan,444.86,USD,Mobile Money,2026-01-05
424,3279,19,Kenya,331.58,USD,Cash,2025-10-28
425,3318,23,Ethiopia,48.98,USD,Voucher,2025-06-06
426,4905,20,Ethiopia,326.27,USD,Bank Transfer,2024-12-24
427,446,29,Kenya,274.37,USD,Voucher,2025-05-19
428,2157,1,Uganda,66.93,USD,Cash,2024-08-25
429,4654,28,South Sudan,171.74,USD,Mobile Money,2024-07-25
