education_id,beneficiary_id,school_code,education_level,country,enrollment_date,status
104,4703,SCH-071,Adult Learning,Ethiopia,2025-05-16,Enrolled
105,2199,SCH-062,Secondary,South Sudan,2026-05-01,Enrolled
106,1896,SCH-070,Primary,Somalia,2025-12-28,Completed
107,4168,SCH-073,Vocational,Uganda,2024-08-23,Dropped
108,3316,SCH-013,Primary,Kenya,2026-06-01,Completed
109,4203,SCH-034,Adult Learning,Ethiopia,2025-10-15,Enrolled
110,3990,SCH-043,Adult Learning,Ethiopia,2026-07-03,Completed
111,484,SCH-029,Adult Learning,Kenya,2025-08-22,Completed
112,1995,SCH-071,Adult Learning,Uganda,2025-04-08,Completed
113,3159,SCH-054,Vocational,Kenya,2026-03-05,Dropped
114,4654,SCH-066,Vocational,Uganda,2026-05-04,Completed
115,2853,SCH-038,Secondary,Somalia,2025-02-04,Dropped
116,1453,SCH-018,Vocational,Kenya,2024-09-12,Dropped
117,2375,SCH-002,Vocational,Kenya,2024-12-24,Completed
118,4228,SCH-006,Primary,Kenya,2025-01-19,Enrolled
119,3733,SCH-025,Vocational,Somalia,2024-12-01,Dropped
120,2622,SCH-077,Adult Learning,Somalia,2024-12-11,Enrolled
121,321,SCH-027,Vocational,Uganda,2025-11-25,Completed
122,1113,SCH-076,Adult Learning,Kenya,2025-04-01,Enrolled
123,1907,SCH-027,Adult Learning,South Sudan,2025-03-21,Enrolled
124,3213,SCH-041,Secondary,Ethiopia,2025-10-07,Enrolled
125,3830,SCH-046,Vocational,Somalia,2025-01-12,Completed
126,385,SCH-002,Adult Learning,South Sudan,2025-01-13,Enrolled
127,1868,SCH-017,Primary,Ethiopia,2025-12-10,Completed
128,3558,SCH-040,Adult Learning,South Sudan,2024-11-27,Dropped
129,2772,SCH-045,Secondary,South Sudan,2026-01-30,Completed
130,3216,SCH-050,Vocational,South Sudan,2025-09-13,Dropped
131,1707,SCH-027,Vocational,Uganda,2026-01-09,Enrolled
132,2607,SCH-024,Adult Learning,Uganda,2026-06-17,Enrolled
133,3088,SCH-041,Secondary,South Sudan,2024-10-15,Completed
134,2744,SCH-044,Secondary,Ethiopia,2024-08-15,Dropped
135,1876,SCH-026,Secondary,South Sudan,2026-01-05,Dropped
136,4024,SCH-044,Adult Learning,Somalia,2025-06-12,Completed
137,106,SCH-037,Adult Learning,Uganda,2024-12-15,Dropped
138,2610,SCH-015,Secondary,South Sudan,2024-08-02,Completed
139,2346,SCH-062,Primary,Kenya,2026-03-21,Enrolled
140,3145,SCH-036,Adult Learning,Kenya,2026-06-15,Dropped
141,4649,SCH-003,Vocational,South Sudan,2024-11-19,Completed
142,1123,SCH-011,Vocational,Uganda,2025-12-14,Enrolled
143,525,SCH-079,Secondary,Kenya,2024-08-03,Completed
144,2826,SCH-024,Adult Learning,South Sudan,2025-02-24,Completed
145,1349,SCH-015,Vocational,South Sudan,2025-07-26,Dropped
146,4057,SCH-056,Primary,Ethiopia,2025-06-09,Enrolled
147,4603,SCH-050,Adult Learning,Kenya,2024-11-25,Dropped
148,4108,SCH-058,Vocational,South Sudan,2025-05-01,Completed
149,1708,SCH-057,Primary,Ethiopia,2026-03-09,Dropped
150,609,SCH-077,Primary,Uganda,2026-02-08,Enrolled
151,552,SCH-052,Secondary,Uganda,2025-04-12,Completed
152,4229,SCH-010,Adult Learning,South Sudan,2025-12-11,Completed
153,4623,SCH-018,Primary,Kenya,2024-12-15,Dropped
154,3160,SCH-008,Vocational,Kenya,2026-03-05,Completed
155,1834,SCH-008,Secondary,Somalia,2025-04-24,Dropped
156,4613,SCH-076,Adult Learning,Ethiopia,2026-02-02,Dropped
157,1210,SCH-014,Secondary,Kenya,2025-11-16,Dropped
158,3930,SCH-052,Primary,Kenya,2025-07-15,Completed
159,4608,SCH-010,Vocational,Uganda,2025-11-25,Dropped
160,930,SCH-028,Vocational,Ethiopia,2025-08-05,Completed
161,4655,SCH-057,Secondary,South Sudan,2025-04-27,Completed
162,4235,SCH-040,Primary,Kenya,2026-06-10,Enrolled
163,447,SCH-065,Primary,Uganda,2024-10-03,Dropped
164,1193,SCH-063,Primary,Somalia,2025-03-31,Dropped
165,2377,SCH-009,Primary,Ethiopia,2025-12-21,Completed
166,1933,SCH-073,Secondary,Somalia,2026-04-30,Enrolled
167,238,SCH-044,Adult Learning,South Sudan,2025-08-24,Completed
168,730,SCH-040,Adult Learning,Somalia,2026-02-21,Enrolled
169,440,SCH-011,Adult Learning,South Sudan,2025-06-17,Dropped
170,1286,SCH-057,Primary,Uganda,2025-06-21,Completed
171,3504,SCH-003,Adult Learning,South Sudan,2024-09-18,Completed
172,1904,SCH-071,Primary,South Sudan,2024-11-21,Dropped
173,3743,SCH-063,Primary,South Sudan,2026-02-12,Dropped
174,3921,SCH-013,Secondary,South Sudan,2025-01-04,Enrolled
175,555,SCH-049,Primary,Kenya,2024-11-02,Completed
176,1294,SCH-015,Vocational,Ethiopia,2024-10-13,Completed
177,2042,SCH-006,Primary,Somalia,2026-04-04,Dropped
178,574,SCH-014,Secondary,Somalia,2025-03-03,Dropped
179,4545,SCH-070,Adult Learning,South Sudan,2026-01-18,Enrolled
180,1141,SCH-002,Secondary,South Sudan,2026-05-26,Dropped
181,1017,SCH-007,Primary,Uganda,2025-07-17,Dropped
182,2329,SCH-072,Vocational,Ethiopia,2025-10-08,Dropped
183,2771,SCH-017,Vocational,Somalia,2026-02-09,Dropped
184,3983,SCH-011,Secondary,South Sudan,2025-12-11,Completed
185,2116,SCH-018,Secondary,Uganda,2024-09-23,Completed
186,1773,SCH-035,Vocational,Uganda,2024-08-28,Completed
187,3713,SCH-038,Primary,Uganda,2025-09-29,Completed
188,3929,SCH-041,Vocational,Somalia,2026-07-16,Dropped
189,1271,SCH-017,Primary,Uganda,2026-07-13,Dropped
190,3232,SCH-015,Adult Learning,Ethiopia,2024-09-07,Dropped
191,3371,SCH-059,Primary,South Sudan,2025-03-14,Enrolled
192,3315,SCH-078,Secondary,South Sudan,2025-04-11,Enrolled
193,2243,SCH-012,Secondary,Uganda,2025-10-10,Dropped
194,3324,SCH-046,Secondary,South Sudan,2025-07-25,Enrolled
195,4889,SCH-047,Adult Learning,Somalia,2026-01-03,Completed
196,3894,SCH-075,Secondary,Uganda,2024-09-01,Completed
197,4496,SCH-052,Primary,Uganda,2025-06-14,Enrolled
198,2482,SCH-075,Vocational,Kenya,2025-02-28,Dropped
199,1329,SCH-035,Secondary,Uganda,2024-12-22,Dropped
200,1855,SCH-011,Adult Learning,South Sudan,2024-11-12,Enrolled
201,3943,SCH-077,Secondary,Kenya,2024-10-16,Enrolled
202,896,SCH-033,Primary,Uganda,2025-07-30,Completed
203,4627,SCH-024,Secondary,Kenya,2026-01-03,Completed
204,4444,SCH-067,Primary,Ethiopia,2025-02-02,Dropped
205,3041,SCH-006,Primary,South Sudan,2025-05-10,Dropped
206,2339,SCH-019,Secondary,Kenya,2025-03-12,Enrolled
207,4621,SCH-014,Secondary,Uganda,2026-03-14,Completed
208,1889,SCH-028,Secondary,Ethiopia,2025-06-28,Dropped
209,1875,SCH-045,Primary,South Sudan,2024-12-16,Dropped
210,2697,SCH-021,Adult Learning,Kenya,2026-07-13,Dropped
211,3922,SCH-043,Secondary,Ethiopia,2025-04-26,Dropped
212,26,SCH-029,Adult Learning,Ethiopia,2025-10-23,Dropped
213,2862,SCH-006,Primary,Uganda,2024-08-10,Dropped
214,3404,SCH-073,Vocational,Somalia,2025-03-04,Enrolled
215,4188,SCH-052,Adult Learning,Uganda,2026-06-29,Enrolled
216,2017,SCH-049,Secondary,Somalia,2025-06-28,Enrolled
217,965,SCH-034,Secondary,Ethiopia,2024-08-12,Completed
218,4212,SCH-031,Primary,Uganda,2025-08-23,Dropped
219,4163,SCH-049,Vocational,Kenya,2026-03-08,Dropped
220,1507,SCH-053,Secondary,Uganda,2024-08-21,Completed
221,789,SCH-038,Primary,South Sudan,2025-06-05,Dropped
222,4438,SCH-056,Secondary,Somalia,2026-06-28,Dropped
223,1291,SCH-026,Secondary,South Sudan,2025-03-29,Enrolled
224,985,SCH-028,Secondary,Somalia,2024-12-08,Enrolled
225,284,SCH-040,Secondary,Uganda,2024-10-22,Completed
226,1429,SCH-071,Secondary,Somalia,2024-11-26,Dropped
227,2750,SCH-002,Vocational,Somalia,2026-02-22,Dropped
228,311,SCH-042,Primary,South Sudan,2026-02-28,Dropped
229,419,SCH-044,Secondary,Somalia,2026-05-23,Dropped
230,2224,SCH-053,Adult Learning,Kenya,2025-05-04,Completed
231,2202,SCH-037,Adult Learning,Uganda,2025-04-19,Enrolled
232,568,SCH-008,Secondary,Kenya,2026-06-10,Completed
233,3978,SCH-020,Primary,Somalia,2025-05-21,Completed
234,166,SCH-022,Primary,Kenya,2025-11-22,Enrolled
235,4623,SCH-019,Primary,Ethiopia,2025-11-07,Enrolled
236,4984,SCH-062,Secondary,Ethiopia,2025-01-15,Enrolled
237,2684,SCH-041,Primary,Uganda,2026-06-14,Enrolled
238,4420,SCH-048,Primary,Ethiopia,2025-03-25,Enrolled
239,3412,SCH-027,Adult Learning,Ethiopia,2024-10-23,Dropped
240,2290,SCH-048,Primary,Uganda,2025-09-19,Dropped
241,3211,SCH-007,Adult Learning,Somalia,2026-07-12,Completed
242,1814,SCH-076,Primary,Somalia,2026-05-23,Completed
243,1462,SCH-053,Vocational,South Sudan,2024-07-27,Completed
244,3164,SCH-026,Vocational,Ethiopia,2025-01-25,Completed
245,4300,SCH-020,Primary,Kenya,2025-10-08,Enrolled
246,1141,SCH-035,Primary,Ethiopia,2025-05-10,Enrolled
247,1649,SCH-037,Primary,Somalia,2025-10-31,Completed
248,4648,SCH-015,Secondary,South Sudan,2024-12-15,Dropped
249,2345,SCH-058,Vocational,Kenya,2025-08-05,Enrolled
250,1894,SCH-027,Secondary,Uganda,2025-07-03,Enrolled
251,4155,SCH-066,Primary,Kenya,2024-11-09,Dropped
252,2289,SCH-078,Vocational,Kenya,2026-03-24,Completed
253,2256,SCH-061,Primary,Uganda,2025-06-09,Completed
254,1657,SCH-026,Vocational,South Sudan,2025-04-04,Dropped
255,4463,SCH-009,Secondary,Ethiopia,2026-04-24,Completed
256,2224,SCH-039,Primary,Ethiopia,2024-09-24,Dropped
257,2446,SCH-019,Adult Learning,South Sudan,2025-08-11,Completed
258,1496,SCH-009,Secondary,Kenya,2025-02-04,Dropped
259,4656,SCH-062,Primary,Ethiopia,2024-07-26,Dropped
260,1366,SCH-054,Adult Learning,Ethiopia,2025-10-24,Dropped
261,4065,SCH-059,Primary,South Sudan,2025-07-26,Dropped
262,4073,SCH-046,Vocational,Uganda,2026-02-01,Completed
263,912,SCH-029,Primary,South Sudan,2026-05-21,Completed
264,4742,SCH-024,Adult Learning,Uganda,2026-01-24,Dropped
265,3006,SCH-012,Adult Learning,Somalia,2024-08-30,Dropped
266,2634,SCH-046,Primary,Kenya,2024-12-03,Dropped
267,2826,SCH-061,Primary,Somalia,2025-03-26,Completed
268,1372,SCH-073,Vocational,Kenya,2025-06-05,Enrolled
269,843,SCH-025,Primary,Ethiopia,2026-04-09,Dropped
270,3319,SCH-014,Primary,South Sudan,2025-04-03,Completed
271,4508,SCH-061,Secondary,Ethiopia,2025-12-15,Completed
272,141,SCH-046,Adult Learning,Uganda,2025-07-01,Dropped
273,2706,SCH-008,Vocational,Uganda,2025-03-15,Dropped
274,4486,SCH-068,Primary,Ethiopia,2025-08-21,Dropped
275,1748,SCH-014,Adult Learning,Kenya,2025-02-26,Completed
276,1409,SCH-051,Secondary,Kenya,2025-11-04,Enrolled
277,4735,SCH-053,Secondary,Ethiopia,2025-05-19,Completed
278,475,SCH-027,Primary,South Sudan,2026-02-05,Dropped
279,2824,SCH-052,Vocational,Uganda,2026-03-16,Enrolled
280,2271,SCH-030,Secondary,Uganda,2025-09-27,Enrolled
281,125,SCH-053,Adult Learning,Uganda,2026-04-22,Completed
282,3513,SCH-034,Secondary,Somalia,2026-05-22,Enrolled
283,1496,SCH-020,Vocational,Uganda,2026-05-09,Completed
284,4813,SCH-023,Adult Learning,Ethiopia,2025-09-10,Dropped
285,2932,SCH-001,Vocational,Uganda,2025-04-03,Enrolled
286,1424,SCH-052,Secondary,Kenya,2024-07-24,Completed
287,1490,SCH-052,Adult Learning,Ethiopia,2025-06-24,Dropped
288,839,SCH-051,Adult Learning,Ethiopia,2025-10-13,Completed
289,1041,SCH-028,Vocational,Kenya,2025-11-06,Enrolled
290,3596,SCH-034,Adult Learning,Ethiopia,2026-02-27,Completed
291,2987,SCH-076,Adult Learning,Uganda,2025-09-25,Enrolled
292,4007,SCH-046,Primary,South Sudan,2026-04-06,Dropped
293,4580,SCH-059,Vocational,Kenya,2025-01-23,Enrolled
294,3589,SCH-057,Adult Learning,Kenya,2026-01-03,Dropped
295,473,SCH-020,Vocational,Somalia,2024-10-28,Completed
296,112,SCH-058,Secondary,Somalia,2025-04-17,Completed
297,1062,SCH-035,Secondary,Uganda,2025-08-09,Dropped
298,1537,SCH-070,Adult Learning,South Sudan,2024-09-07,Enrolled
299,1802,SCH-013,Primary,Uganda,2024-07-23,Enrolled
300,829,SCH-021,Adult Learning,Somalia,2025-09-25,Dropped
301,1495,SCH-069,Vocational,Ethiopia,2025-06-13,Completed
302,2395,SCH-065,Primary,Ethiopia,2024-12-22,Dropped
303,1496,SCH-027,Vocational,Uganda,2024-11-20,Enrolled
304,3395,SCH-019,Adult Learning,Kenya,2025-07-03,Dropped
305,1154,SCH-030,Secondary,Uganda,2026-06-26,Completed
306,3124,SCH-031,Primary,Uganda,2026-06-11,Completed
307,1474,SCH-026,Secondary,Ethiopia,2025-12-19,Completed
308,276,SCH-009,Vocational,Uganda,2026-01-13,Dropped
309,4809,SCH-072,Secondary,Uganda,2025-09-03,Enrolled
310,4947,SCH-074,Adult Learning,South Sudan,2024-10-29,Enrolled
311,3291,SCH-023,Secondary,Uganda,2026-01-14,Enrolled
312,3245,SCH-070,Secondary,Somalia,2024-08-31,Dropped
313,2169,SCH-076,Secondary,Somalia,2024-08-03,Enrolled
314,1481,SCH-052,Primary,Ethiopia,2025-01-30,Dropped
315,4922,SCH-016,Secondary,Ethiopia,2026-07-03,Enrolled
316,1549,SCH-038,Vocational,South Sudan,2025-09-09,Completed
317,2926,SCH-004,Secondary,South Sudan,2025-08-11,Dropped
318,1911,SCH-007,Primary,Uganda,2024-12-01,Completed
319,3228,SCH-075,Vocational,Somalia,2026-01-18,Dropped
320,108,SCH-054,Secondary,South Sudan,2026-03-25,Completed
321,3821,SCH-006,Primary,Somalia,2026-03-21,Completed
322,4486,SCH-028,Adult Learning,South Sudan,2026-07-12,Completed
323,4514,SCH-006,Adult Learning,South Sudan,2024-11-29,Enrolled
324,620,SCH-029,Adult Learning,Kenya,2025-02-27,Dropped
325,2845,SCH-014,Adult Learning,South Sudan,2025-07-28,Enrolled
326,3938,SCH-050,Primary,Kenya,2025-02-21,Dropped
327,4519,SCH-077,Vocational,South Sudan,2025-07-13,Enrolled
328,4479,SCH-054,Vocational,South Sudan,2025-07-15,Enrolled
329,3519,SCH-071,Secondary,Somalia,2025-02-14,Dropped
330,3166,SCH-055,Vocational,Ethiopia,2025-10-10,Dropped
331,2843,SCH-057,Primary,South Sudan,2024-12-12,Enrolled
332,4977,SCH-006,Secondary,South Sudan,2026-04-24,Enrolled
333,2792,SCH-020,Adult Learning,Uganda,2025-10-12,Dropped
334,3861,SCH-034,Adult Learning,South Sudan,2025-07-13,Enrolled
335,668,SCH-080,Vocational,Somalia,2024-11-07,Dropped
336,2641,SCH-026,Adult Learning,Kenya,2025-09-24,Dropped
337,167,SCH-069,Secondary,South Sudan,2024-08-22,Completed
338,2206,SCH-071,Adult Learning,Uganda,2025-04-21,Completed
339,738,SCH-072,Primary,Kenya,2026-04-13,Completed
340,2683,SCH-043,Primary,Uganda,2025-09-22,Dropped
341,3485,SCH-037,Secondary,Ethiopia,2026-04-22,Dropped
342,1399,SCH-077,Adult Learning,Ethiopia,2025-01-12,Enrolled
343,4776,SCH-017,Vocational,Uganda,2026-01-10,Completed
344,771,SCH-005,Secondary,Kenya,2025-07-04,Completed
345,4085,SCH-013,Vocational,South Sudan,2026-02-21,Dropped
346,832,SCH-012,Adult Learning,Ethiopia,2025-09-27,Completed
347,3856,SCH-037,Vocational,Kenya,2024-11-26,Dropped
348,910,SCH-037,Vocational,South Sudan,2024-12-02,Dropped
349,1170,SCH-018,Secondary,Kenya,2024-11-14,Dropped
350,4379,SCH-033,Primary,Somalia,2024-12-14,Enrolled
351,671,SCH-043,Vocational,Ethiopia,2025-02-20,Dropped
352,708,SCH-068,Primary,Somalia,2026-01-09,Dropped
353,124,SCH-039,Vocational,Kenya,2025-12-26,Completed
354,3753,SCH-045,Secondary,Somalia,2025-04-11,Dropped
355,4800,SCH-025,Secondary,Uganda,2025-06-23,Completed
356,375,SCH-072,Vocational,South Sudan,2026-07-13,Completed
357,3858,SCH-042,Vocational,South Sudan,2026-03-11,Dropped
358,2544,SCH-052,Adult Learning,Ethiopia,2024-11-23,Enrolled
359,2741,SCH-080,Primary,Ethiopia,2025-01-17,Dropped
360,2327,SCH-053,Secondary,Uganda,2024-10-07,Enrolled
361,4691,SCH-045,Primary,South Sudan,2026-07-18,Enrolled
362,1614,SCH-045,Primary,Uganda,2025-06-16,Completed
363,3329,SCH-006,Adult Learning,South Sudan,2025-04-24,Completed
364,477,SCH-037,Vocational,Somalia,2025-02-15,Completed
365,434,SCH-016,Primary,Kenya,2025-03-07,Dropped
366,2461,SCH-044,Primary,Ethiopia,2024-10-06,Completed
367,3709,SCH-051,Vocational,Kenya,2025-06-18,Enrolled
368,516,SCH-076,Vocational,South Sudan,2026-04-26,Completed
369,4233,SCH-004,Primary,Ethiopia,2025-02-02,Dropped
370,25,SCH-023,Vocational,Somalia,2026-02-28,Completed
371,1802,SCH-022,Secondary,Uganda,2025-08-08,Completed
372,560,SCH-055,Vocational,Kenya,2025-07-14,Enrolled
373,3730,SCH-018,Vocational,Somalia,2024-11-27,Dropped
374,687,SCH-058,Adult Learning,Somalia,2024-08-18,Completed
375,1317,SCH-066,Primary,Kenya,2025-10-23,Completed
376,85,SCH-067,Secondary,Ethiopia,2024-10-03,Completed
377,847,SCH-079,Secondary,Uganda,2026-02-14,Enrolled
378,3673,SCH-060,Secondary,South Sudan,2024-09-10,Enrolled
379,3679,SCH-061,Adult Learning,Somalia,2025-11-12,Dropped
380,1209,SCH-067,Vocational,Kenya,2025-11-12,Completed
381,4112,SCH-049,Adult Learning,Somalia,2024-10-09,Enrolled
382,4488,SCH-037,Secondary,Ethiopia,2024-12-15,Dropped
383,2059,SCH-070,Primary,South Sudan,2026-01-05,Enrolled
384,1830,SCH-070,Secondary,Kenya,2026-05-13,Dropped
385,1835,SCH-077,Vocational,Uganda,2025-11-29,Enrolled
386,2355,SCH-027,Secondary,Uganda,2024-11-23,Dropped
387,2394,SCH-070,Secondary,Uganda,2024-08-07,Dropped
388,3616,SCH-021,Vocational,Kenya,2025-01-12,Enrolled
389,4480,SCH-034,Primary,Kenya,2024-11-30,Enrolled
390,2904,SCH-019,Secondary,Somalia,2026-04-20,Enrolled
391,79,SCH-037,Vocational,Kenya,2025-10-09,Enrolled
392,1232,SCH-006,Primary,Ethiopia,2025-09-05,Enrolled
393,3718,SCH-080,Vocational,Uganda,2026-02-19,Dropped
394,3441,SCH-009,Primary,Kenya,2024-12-01,Dropped
395,3567,SCH-030,Adult Learning,Somalia,2026-04-05,Completed
396,3270,SCH-063,Primary,South Sudan,2025-07-15,Enrolled
397,2340,SCH-040,Vocational,Kenya,2025-05-01,Dropped
398,1956,SCH-030,Secondary,Ethiopia,2025-04-03,Dropped
399,3989,SCH-001,Secondary,Kenya,2024-09-06,Enrolled
400,1781,SCH-062,Vocational,Kenya,2026-04-25,Completed
401,2288,SCH-043,Vocational,Somalia,2025-06-16,Completed
402,4387,SCH-036,Adult Learning,Uganda,2025-09-14,Enrolled
403,3029,SCH-022,Primary,Somalia,2026-07-01,Dropped
404,3125,SCH-068,Vocational,Kenya,2025-02-19,Dropped
405,3376,SCH-025,Secondary,Somalia,2025-09-15,Completed
406,775,SCH-020,Vocational,Uganda,2026-01-06,Enrolled
407,4166,SCH-045,Secondary,Uganda,2026-04-08,Dropped
408,4814,SCH-028,Vocational,Uganda,2025-12-27,Dropped
409,4614,SCH-043,Adult Learning,Ethiopia,2024-11-12,Dropped
410,4764,SCH-050,Primary,Uganda,2026-01-16,Completed
411,715,SCH-051,Vocational,Kenya,2025-04-22,Enrolled
412,1346,SCH-067,Primary,South Sudan,2025-11-12,Dropped
413,1929,SCH-078,Vocational,Uganda,2024-09-14,Enrolled
414,1191,SCH-009,Vocational,Ethiopia,2024-10-04,Dropped
415,2492,SCH-041,Adult Learning,Kenya,2026-05-03,Enrolled
