distribution_id,project_id,beneficiary_id,food_item,quantity,unit,country,distribution_date,warehouse_code
29,21,3096,Maize Flour,6,kg,Kenya,2025-06-22,WH-001
30,13,3512,Beans,62,kg,South Sudan,2026-03-16,WH-001
31,30,2369,Rice,7,kg,Uganda,2024-11-21,WH-003
32,30,1352,Maize Flour,90,kg,Ethiopia,2026-06-27,WH-003
33,2,2043,Maize Flour,96,kg,Ethiopia,2024-10-24,WH-004
34,4,69,Salt,5,kg,Somalia,2025-01-31,WH-004
35,27,1203,Rice,9,kg,South Sudan,2026-05-31,WH-004
36,8,3517,Rice,19,kg,South Sudan,2025-11-03,WH-002
37,13,710,Sugar,2,kg,South Sudan,2025-12-26,WH-001
38,20,738,Rice,9,kg,South Sudan,2026-05-31,WH-003
39,21,1631,Salt,49,kg,Somalia,2024-10-06,WH-001
40,15,2975,Salt,29,kg,South Sudan,2024-12-19,WH-002
41,27,4098,Sugar,23,kg,Uganda,2026-02-28,WH-001
42,13,2075,Sugar,74,kg,Uganda,2024-10-26,WH-002
43,3,2342,Beans,81,kg,Ethiopia,2024-11-14,WH-001
44,19,1963,Rice,39,kg,Somalia,2026-03-26,WH-004
45,11,4548,Rice,82,kg,Ethiopia,2025-08-29,WH-003
46,25,4314,Maize Flour,59,kg,Kenya,2025-07-21,WH-001
47,25,450,Rice,11,kg,Somalia,2026-07-03,WH-002
48,30,3355,Cooking Oil,64,kg,Kenya,2024-11-14,WH-003
49,23,4723,Rice,77,kg,Ethiopia,2026-03-26,WH-003
50,22,2888,Lentils,62,kg,Uganda,2024-10-28,WH-001
51,14,839,Lentils,72,kg,Ethiopia,2025-11-21,WH-002
52,11,2766,Maize Flour,36,kg,South Sudan,2024-10-07,WH-001
53,9,2460,Cooking Oil,28,kg,Uganda,2025-03-19,WH-003
54,14,1514,Sugar,42,kg,Kenya,2024-12-28,WH-003
55,28,648,Rice,33,kg,Uganda,2026-04-29,WH-004
56,4,2881,Maize Flour,24,kg,Uganda,2025-04-12,WH-004
57,5,3909,Sugar,30,kg,South Sudan,2026-06-26,WH-003
58,1,4520,Salt,58,kg,Ethiopia,2025-12-11,WH-001
59,18,2368,Rice,85,kg,Uganda,2025-11-20,WH-001
60,23,2228,Salt,43,kg,Uganda,2026-06-05,WH-002
61,18,4359,Salt,12,kg,South Sudan,2025-04-29,WH-004
62,22,1723,Sugar,73,kg,Kenya,2025-12-01,WH-002
63,1,3645,Lentils,90,kg,Uganda,2024-12-03,WH-003
64,14,2552,Beans,23,kg,Uganda,2024-09-09,WH-002
65,19,368,Beans,84,kg,Ethiopia,2025-06-29,WH-001
66,7,2354,Beans,8,kg,South Sudan,2025-03-26,WH-004
67,29,4285,Beans,54,kg,South Sudan,2024-10-04,WH-002
68,21,4017,Rice,79,kg,South Sudan,2026-07-08,WH-004
69,25,417,Lentils,4,kg,Somalia,2025-06-23,WH-002
70,3,4530,Salt,79,kg,Ethiopia,2024-09-16,WH-001
71,15,2569,Rice,28,kg,South Sudan,2025-04-12,WH-002
72,15,1081,Lentils,56,kg,Ethiopia,2025-05-03,WH-003
73,6,3735,Lentils,5,kg,Uganda,2025-11-24,WH-001
74,7,4410,Cooking Oil,40,kg,Uganda,2026-05-16,WH-003
75,21,2963,Maize Flour,8,kg,Somalia,2025-04-11,WH-002
76,13,824,Rice,12,kg,Ethiopia,2026-02-09,WH-001
77,19,3737,Salt,16,kg,Somalia,2025-10-07,WH-002
78,26,2344,Salt,52,kg,Ethiopia,2026-05-08,WH-001
79,29,2109,Maize Flour,63,kg,Somalia,2024-12-03,WH-004
80,4,2230,Rice,19,kg,Somalia,2025-10-08,WH-004
81,17,796,Sugar,40,kg,Somalia,2024-12-01,WH-002
82,2,4760,Salt,66,kg,South Sudan,2025-06-12,WH-002
83,4,2586,Beans,79,kg,Ethiopia,2025-10-14,WH-003
84,30,1383,Rice,33,kg,Ethiopia,2024-10-14,WH-004
85,1,2284,Lentils,72,kg,Ethiopia,2025-11-26,WH-001
86,14,3980,Beans,61,kg,Ethiopia,2024-11-05,WH-002
87,30,1026,Lentils,29,kg,Somalia,2026-05-11,WH-004
88,14,1740,Rice,78,kg,Uganda,2025-03-20,WH-001
89,14,428,Rice,93,kg,Kenya,2025-11-16,WH-004
90,3,1990,Maize Flour,21,kg,Uganda,2025-07-16,WH-002
91,9,2333,Lentils,70,kg,Ethiopia,2025-05-25,WH-002
92,16,2610,Maize Flour,21,kg,Uganda,2025-02-09,WH-003
93,8,2894,Beans,88,kg,Kenya,2024-11-10,WH-002
94,18,88,Cooking Oil,57,kg,Kenya,2024-09-22,WH-002
95,12,4186,Salt,59,kg,Kenya,2025-06-19,WH-001
96,18,2683,Maize Flour,55,kg,Ethiopia,2025-06-10,WH-001
97,2,3090,Cooking Oil,86,kg,Somalia,2025-05-29,WH-001
98,12,4737,Salt,4,kg,South Sudan,2026-03-18,WH-004
99,13,3331,Rice,73,kg,Ethiopia,2026-05-16,WH-004
100,23,303,Cooking Oil,13,kg,Somalia,2026-03-12,WH-001
101,1,2033,Beans,79,kg,Kenya,2025-08-13,WH-004
102,4,2065,Cooking Oil,95,kg,Uganda,2025-02-27,WH-004
103,8,1976,Rice,42,kg,Kenya,2025-07-29,WH-002
104,4,1703,Sugar,41,kg,Ethiopia,2025-05-30,WH-004
105,4,4072,Rice,84,kg,Kenya,2025-09-06,WH-001
106,12,5,Lentils,34,kg,Kenya,2025-04-24,WH-004
107,29,3542,Lentils,53,kg,Kenya,2024-07-23,WH-004
108,15,14,Beans,89,kg,South Sudan,2026-03-10,WH-004
109,15,2767,Maize Flour,83,kg,Ethiopia,2024-07-26,WH-001
110,28,4383,Beans,80,kg,South Sudan,2025-09-11,WH-004
111,14,783,Maize Flour,39,kg,Ethiopia,2025-08-07,WH-003
112,6,2970,Beans,88,kg,Somalia,2026-07-01,WH-004
113,14,1758,Beans,3,kg,Ethiopia,2025-05-16,WH-004
114,26,1633,Cooking Oil,75,kg,Ethiopia,2025-06-01,WH-003
115,7,330,Maize Flour,99,kg,Ethiopia,2026-05-24,WH-002
116,9,2004,Salt,92,kg,South Sudan,2025-04-27,WH-001
117,14,24,Beans,69,kg,Uganda,2025-09-07,WH-002
118,28,4504,Beans,100,kg,Uganda,2025-03-03,WH-003
119,18,668,Maize Flour,20,kg,South Sudan,2025-01-29,WH-001
120,6,3941,Rice,16,kg,South Sudan,2025-06-05,WH-004
121,18,3618,Salt,21,kg,Ethiopia,2025-01-10,WH-001
122,4,214,Salt,5,kg,Uganda,2024-11-01,WH-001
123,23,2453,Sugar,43,kg,South Sudan,2026-04-12,WH-001
124,13,3463,Salt,75,kg,Somalia,2024-12-26,WH-001
125,24,3253,Salt,44,kg,Kenya,2025-02-11,WH-003
126,15,171,Maize Flour,66,kg,Ethiopia,2024-08-27,WH-002
127,29,3209,Sugar,35,kg,Somalia,2026-05-26,WH-002
128,20,1838,Cooking Oil,45,kg,Kenya,2026-01-15,WH-002
129,12,3754,Maize Flour,33,kg,Somalia,2026-06-01,WH-002
130,18,1323,Maize Flour,99,kg,Somalia,2026-01-23,WH-004
131,6,2304,Salt,74,kg,Ethiopia,2025-03-03,WH-002
132,27,596,Beans,61,kg,Ethiopia,2026-02-18,WH-002
133,27,2783,Maize Flour,23,kg,Kenya,2024-08-11,WH-002
134,3,154,Rice,21,kg,Somalia,2025-01-24,WH-002
135,1,4730,Salt,26,kg,Somalia,2025-08-16,WH-002
136,27,4208,Lentils,75,kg,Kenya,2025-07-23,WH-002
137,19,1945,Sugar,64,kg,Somalia,2026-07-08,WH-001
138,29,435,Lentils,27,kg,Uganda,2026-01-08,WH-002
139,24,3346,Rice,73,kg,Somalia,2025-06-04,WH-002
140,22,1471,Lentils,6,kg,Somalia,2024-11-10,WH-003
141,13,4995,Maize Flour,54,kg,South Sudan,2024-11-11,WH-002
142,16,2569,Salt,86,kg,South Sudan,2026-01-08,WH-004
143,14,1284,Maize Flour,98,kg,Kenya,2026-06-06,WH-001
144,17,1375,Beans,82,kg,Uganda,2026-05-10,WH-004
145,12,2273,Sugar,5,kg,Ethiopia,2026-04-22,WH-002
146,24,2693,Sugar,77,kg,Somalia,2025-01-06,WH-004
147,13,3815,Rice,23,kg,Somalia,2025-06-16,WH-004
148,24,1487,Beans,77,kg,Uganda,2025-02-13,WH-001
149,25,212,Lentils,22,kg,South Sudan,2025-05-12,WH-003
150,30,4907,Cooking Oil,49,kg,Somalia,2025-01-13,WH-004
151,22,2945,Beans,55,kg,Somalia,2024-08-09,WH-002
152,29,3642,Salt,73,kg,Kenya,2025-05-06,WH-003
153,3,4856,Cooking Oil,77,kg,Ethiopia,2024-11-21,WH-002
154,12,82,Maize Flour,4,kg,Ethiopia,2024-11-05,WH-003
155,29,4889,Maize Flour,63,kg,Ethiopia,2026-01-16,WH-001
156,22,4598,Salt,100,kg,Somalia,2026-06-12,WH-003
157,12,2727,Sugar,50,kg,South Sudan,2024-11-06,WH-003
158,16,2218,Cooking Oil,8,kg,South Sudan,2025-11-29,WH-001
159,12,825,Lentils,21,kg,Ethiopia,2025-05-22,WH-004
160,18,950,Lentils,28,kg,South Sudan,2026-05-01,WH-003
161,16,3713,Sugar,21,kg,South Sudan,2024-11-02,WH-001
162,4,1661,Maize Flour,38,kg,Kenya,2024-09-09,WH-001
163,29,1657,Sugar,74,kg,Kenya,2026-05-01,WH-004
164,23,219,Sugar,93,kg,Somalia,2025-03-14,WH-002
165,7,4229,Beans,83,kg,Kenya,2024-12-13,WH-002
166,4,2925,Rice,92,kg,Somalia,2025-03-06,WH-003
167,28,4087,Maize Flour,36,kg,Ethiopia,2025-12-07,WH-001
168,13,874,Salt,27,kg,Kenya,2024-09-15,WH-002
169,26,3162,Salt,36,kg,Uganda,2024-11-28,WH-002
170,10,2530,Lentils,80,kg,Somalia,2024-10-15,WH-001
171,16,2474,Maize Flour,98,kg,Ethiopia,2025-02-18,WH-002
172,1,3847,Salt,82,kg,Uganda,2025-11-12,WH-002
173,30,4890,Lentils,63,kg,Ethiopia,2025-12-28,WH-001
174,16,831,Sugar,83,kg,South Sudan,2024-10-06,WH-001
175,6,2343,Cooking Oil,32,kg,Kenya,2026-01-25,WH-003
176,8,2553,Maize Flour,70,kg,South Sudan,2026-07-06,WH-003
177,19,3734,Cooking Oil,2,kg,Kenya,2024-09-01,WH-003
178,18,1028,Rice,98,kg,Kenya,2025-01-20,WH-004
179,28,4980,Lentils,14,kg,South Sudan,2025-09-21,WH-002
180,17,41,Cooking Oil,55,kg,Somalia,2026-06-26,WH-003
181,8,1833,Beans,85,kg,Somalia,2026-01-14,WH-003
182,11,2145,Salt,99,kg,Somalia,2025-11-10,WH-004
183,9,2180,Sugar,75,kg,Kenya,2026-01-03,WH-003
184,6,4658,Lentils,39,kg,Somalia,2025-11-27,WH-001
185,19,802,Salt,6,kg,Kenya,2025-01-20,WH-002
186,24,1469,Rice,92,kg,Ethiopia,2024-10-30,WH-003
187,30,1564,Salt,80,kg,Uganda,2024-12-15,WH-002
188,28,3986,Rice,32,kg,Uganda,2025-02-10,WH-002
189,18,92,Cooking Oil,90,kg,Ethiopia,2026-05-09,WH-001
190,14,4400,Maize Flour,82,kg,Kenya,2024-08-23,WH-002
191,9,4842,Lentils,76,kg,Kenya,2026-03-07,WH-001
192,29,4985,Lentils,22,kg,South Sudan,2025-09-12,WH-001
193,16,3923,Salt,19,kg,Uganda,2025-12-11,WH-001
194,8,4080,Cooking Oil,5,kg,South Sudan,2026-03-23,WH-004
195,30,4472,Salt,38,kg,South Sudan,2025-08-21,WH-001
196,7,4475,Salt,81,kg,Ethiopia,2026-02-10,WH-003
197,20,4614,Beans,94,kg,Ethiopia,2026-04-06,WH-004
198,2,511,Beans,52,kg,South Sudan,2024-07-21,WH-003
199,12,358,Rice,30,kg,Somalia,2025-10-18,WH-003
200,17,4232,Salt,93,kg,Uganda,2026-02-09,WH-004
201,3,4544,Salt,24,kg,Kenya,2025-02-20,WH-002
202,1,2976,Rice,75,kg,South Sudan,2024-11-08,WH-003
203,23,483,Sugar,58,kg,Somalia,2025-10-29,WH-001
204,12,1929,Lentils,86,kg,Kenya,2026-06-29,WH-001
205,6,9,Sugar,93,kg,Ethiopia,2024-12-10,WH-004
206,14,1467,Rice,72,kg,Ethiopia,2025-03-03,WH-002
207,7,872,Salt,63,kg,Kenya,2025-01-24,WH-001
208,8,2277,Salt,98,kg,South Sudan,2025-01-26,WH-004
209,10,1872,Lentils,24,kg,Uganda,2025-11-19,WH-002
210,23,3600,Beans,62,kg,South Sudan,2025-09-07,WH-003
211,30,4215,Cooking Oil,51,kg,Uganda,2026-04-20,WH-001
212,16,1924,Maize Flour,84,kg,Ethiopia,2025-07-23,WH-002
213,24,2172,Salt,73,kg,Somalia,2024-07-30,WH-004
214,2,247,Rice,47,kg,Kenya,2025-04-25,WH-002
215,13,2023,Sugar,90,kg,Kenya,2025-10-28,WH-004
216,23,4857,Sugar,72,kg,Somalia,2024-09-20,WH-003
217,1,2654,Salt,74,kg,Ethiopia,2025-09-15,WH-004
218,25,4561,Salt,87,kg,Somalia,2025-06-28,WH-004
219,6,1862,Cooking Oil,43,kg,South Sudan,2024-11-17,WH-004
220,14,360,Beans,41,kg,Ethiopia,2025-11-30,WH-001
221,26,1446,Rice,63,kg,Kenya,2025-08-01,WH-002
222,16,749,Beans,84,kg,Kenya,2024-11-16,WH-004
223,18,2803,Beans,95,kg,Uganda,2026-02-18,WH-001
224,8,1071,Rice,21,kg,Kenya,2025-11-30,WH-001
225,20,3315,Beans,18,kg,South Sudan,2026-05-30,WH-002
226,14,3313,Cooking Oil,71,kg,South Sudan,2025-12-26,WH-004
227,11,1356,Lentils,58,kg,Uganda,2024-11-11,WH-002
228,19,515,Sugar,28,kg,Ethiopia,2025-05-09,WH-004
229,25,524,Salt,36,kg,Uganda,2025-01-11,WH-003
230,19,2604,Lentils,6,kg,Uganda,2024-12-25,WH-002
231,24,563,Salt,60,kg,Somalia,2025-06-21,WH-004
232,11,4031,Beans,56,kg,Uganda,2026-01-19,WH-004
233,9,883,Lentils,19,kg,Kenya,2024-08-30,WH-003
234,13,4048,Cooking Oil,19,kg,Kenya,2025-01-14,WH-003
235,1,1310,Beans,23,kg,South Sudan,2025-07-14,WH-001
236,23,4699,Salt,40,kg,Kenya,2025-04-04,WH-004
237,28,913,Beans,39,kg,South Sudan,2025-03-29,WH-004
238,1,3717,Sugar,93,kg,Ethiopia,2026-04-28,WH-002
239,13,222,Rice,84,kg,South Sudan,2025-07-06,WH-002
240,12,1933,Salt,73,kg,Kenya,2025-08-18,WH-001
241,8,1803,Sugar,62,kg,Kenya,2024-11-23,WH-004
242,20,2449,Sugar,87,kg,South Sudan,2025-04-21,WH-002
243,2,14,Salt,73,kg,South Sudan,2025-08-09,WH-001
244,11,1995,Cooking Oil,76,kg,Ethiopia,2026-02-23,WH-004
245,18,4274,Cooking Oil,95,kg,Kenya,2025-06-07,WH-003
246,5,1616,Salt,100,kg,Kenya,2024-10-16,WH-001
247,4,3271,Sugar,76,kg,Kenya,2024-08-16,WH-004
248,14,3873,Salt,52,kg,Ethiopia,2024-08-01,WH-001
249,18,3001,Rice,57,kg,Ethiopia,2025-07-02,WH-004
250,28,3631,Cooking Oil,12,kg,Uganda,2025-03-15,WH-004
251,14,3136,Lentils,24,kg,Kenya,2026-02-06,WH-001
252,18,2344,Lentils,33,kg,Kenya,2024-09-15,WH-004
253,17,380,Sugar,9,kg,South Sudan,2025-06-01,WH-004
254,10,2294,Sugar,59,kg,Kenya,2025-11-30,WH-003
255,2,3832,Salt,65,kg,Somalia,2026-07-16,WH-003
256,8,377,Beans,41,kg,Kenya,2025-09-22,WH-003
257,19,3792,Salt,17,kg,Kenya,2026-05-26,WH-004
258,26,3162,Maize Flour,79,kg,Kenya,2024-07-19,WH-002
259,6,2820,Sugar,9,kg,Somalia,2026-04-22,WH-004
260,16,2022,Maize Flour,17,kg,Somalia,2026-03-30,WH-002
261,4,1018,Maize Flour,37,kg,Uganda,2025-10-20,WH-001
262,18,4885,Cooking Oil,45,kg,Kenya,2025-10-29,WH-004
263,12,2718,Salt,74,kg,Somalia,2025-01-03,WH-001
264,19,4596,Sugar,83,kg,South Sudan,2026-02-06,WH-003
265,16,369,Beans,96,kg,South Sudan,2025-10-21,WH-002
266,5,134,Cooking Oil,55,kg,Somalia,2026-01-28,WH-003
267,25,139,Maize Flour,22,kg,Ethiopia,2026-01-28,WH-001
268,4,1276,Cooking Oil,14,kg,Ethiopia,2026-05-07,WH-003
269,3,1773,Cooking Oil,62,kg,Uganda,2024-12-16,WH-002
270,1,4649,Maize Flour,15,kg,Uganda,2025-09-06,WH-003
271,14,177,Rice,1,kg,Ethiopia,2024-09-22,WH-001
272,14,2737,Cooking Oil,15,kg,South Sudan,2026-06-13,WH-001
273,26,1574,Lentils,91,kg,Ethiopia,2025-08-05,WH-003
274,23,63,Cooking Oil,3,kg,Ethiopia,2026-05-28,WH-001
275,20,3829,Sugar,84,kg,South Sudan,2025-01-21,WH-002
276,14,4978,Lentils,60,kg,Uganda,2025-01-16,WH-004
277,24,2805,Maize Flour,54,kg,South Sudan,2026-01-28,WH-002
278,7,2195,Sugar,96,kg,Somalia,2025-08-28,WH-001
279,30,2999,Sugar,60,kg,South Sudan,2024-09-13,WH-004
280,19,1160,Lentils,59,kg,Kenya,2026-03-05,WH-001
281,6,4508,Sugar,2,kg,South Sudan,2025-04-11,WH-002
282,25,1451,Sugar,56,kg,Kenya,2025-09-19,WH-001
283,25,4560,Beans,53,kg,South Sudan,2024-12-13,WH-002
284,3,2701,Sugar,95,kg,Uganda,2025-07-01,WH-004
285,15,91,Lentils,7,kg,South Sudan,2025-11-30,WH-002
286,13,1493,Cooking Oil,40,kg,Somalia,2025-07-16,WH-002
287,11,4422,Lentils,58,kg,Somalia,2025-03-06,WH-002
288,21,4647,Salt,68,kg,Somalia,2026-05-16,WH-002
289,14,1511,Maize Flour,67,kg,Somalia,2026-01-12,WH-004
290,10,722,Lentils,94,kg,Kenya,2025-09-17,WH-001
291,5,2022,Sugar,21,kg,Ethiopia,2026-06-04,WH-003
292,29,1085,Salt,71,kg,Uganda,2024-09-24,WH-002
293,17,4012,Lentils,60,kg,South Sudan,2026-02-11,WH-002
294,24,2300,Lentils,19,kg,South Sudan,2026-04-06,WH-002
295,8,4192,Beans,59,kg,Somalia,2025-06-02,WH-004
296,8,1930,Salt,4,kg,Uganda,2025-06-29,WH-002
297,4,1671,Lentils,43,kg,Kenya,2025-01-09,WH-001
298,6,450,Beans,20,kg,Uganda,2024-08-23,WH-003
299,18,2256,Salt,53,kg,South Sudan,2026-05-30,WH-003
300,13,3144,Maize Flour,2,kg,Kenya,2024-08-13,WH-004
301,5,2706,Salt,30,kg,Kenya,2025-08-16,WH-004
302,30,4841,Salt,75,kg,Uganda,2025-01-16,WH-001
303,14,1772,Lentils,58,kg,South Sudan,2024-09-12,WH-004
304,21,2021,Salt,97,kg,South Sudan,2024-10-02,WH-002
305,21,2765,Lentils,61,kg,Somalia,2025-06-17,WH-002
306,5,2308,Salt,78,kg,South Sudan,2026-04-05,WH-002
307,20,3539,Rice,3,kg,South Sudan,2025-08-24,WH-002
308,17,3226,Maize Flour,61,kg,South Sudan,2024-07-23,WH-003
309,19,3735,Rice,93,kg,Somalia,2024-07-28,WH-001
310,29,4854,Beans,94,kg,Kenya,2025-09-05,WH-001
311,13,108,Lentils,31,kg,South Sudan,2026-06-03,WH-002
312,4,1003,Sugar,46,kg,Somalia,2025-02-27,WH-004
313,28,2433,Beans,64,kg,Ethiopia,2024-08-31,WH-004
314,19,1042,Maize Flour,85,kg,South Sudan,2025-07-08,WH-003
315,22,4365,Lentils,83,kg,Ethiopia,2025-10-02,WH-004
316,29,3903,Salt,65,kg,Uganda,2025-11-16,WH-003
317,27,1969,Salt,52,kg,Ethiopia,2024-08-17,WH-004
318,3,4330,Maize Flour,71,kg,South Sudan,2025-12-29,WH-004
319,18,827,Beans,62,kg,Kenya,2026-01-11,WH-001
320,12,4352,Lentils,60,kg,South Sudan,2026-07-03,WH-004
321,5,520,Cooking Oil,55,kg,Ethiopia,2025-01-27,WH-002
322,15,1303,Cooking Oil,100,kg,Uganda,2025-10-07,WH-002
323,18,672,Beans,79,kg,South Sudan,2025-07-20,WH-002
324,18,4140,Lentils,84,kg,Ethiopia,2025-06-02,WH-002
325,9,3502,Lentils,21,kg,South Sudan,2026-03-25,WH-004
326,21,4952,Beans,22,kg,Kenya,2025-08-21,WH-003
327,16,1964,Cooking Oil,75,kg,Kenya,2025-11-25,WH-003
328,28,2309,Rice,31,kg,South Sudan,2024-10-05,WH-002
329,10,660,Salt,88,kg,Kenya,2025-10-23,WH-004
330,5,1605,Maize Flour,96,kg,Kenya,2024-11-16,WH-001
331,1,3863,Maize Flour,16,kg,Kenya,2026-05-08,WH-003
332,13,2546,Sugar,41,kg,Kenya,2025-12-16,WH-003
333,8,1904,Maize Flour,47,kg,South Sudan,2024-11-16,WH-004
334,17,2236,Lentils,8,kg,South Sudan,2025-10-13,WH-003
335,19,4011,Salt,54,kg,Ethiopia,2025-03-14,WH-003
336,12,1146,Sugar,42,kg,Somalia,2025-03-18,WH-001
337,26,1019,Lentils,73,kg,South Sudan,2025-12-14,WH-004
338,13,1980,Maize Flour,22,kg,Somalia,2025-08-04,WH-002
339,3,39,Beans,62,kg,South Sudan,2025-12-29,WH-001
340,2,2819,Maize Flour,47,kg,South Sudan,2024-10-09,WH-003
341,5,3754,Salt,9,kg,Uganda,2026-02-26,WH-002
342,18,4768,Maize Flour,14,kg,Ethiopia,2025-11-22,WH-001
343,19,2606,Cooking Oil,77,kg,Somalia,2024-10-23,WH-003
344,30,698,Beans,70,kg,Somalia,2025-04-08,WH-004
345,10,4989,Sugar,81,kg,Somalia,2025-08-26,WH-002
346,10,2038,Sugar,83,kg,Kenya,2025-04-21,WH-002
347,21,4726,Maize Flour,4,kg,South Sudan,2024-09-19,WH-004
348,14,3792,Beans,15,kg,Uganda,2025-01-24,WH-004
349,2,412,Salt,47,kg,Ethiopia,2025-04-01,WH-001
350,10,2861,Cooking Oil,63,kg,Uganda,2025-04-15,WH-002
351,6,387,Salt,11,kg,Ethiopia,2024-08-04,WH-001
352,23,2803,Maize Flour,21,kg,Kenya,2026-05-20,WH-003
353,30,1640,Sugar,61,kg,Kenya,2025-05-14,WH-004
354,18,774,Sugar,74,kg,Somalia,2025-01-28,WH-001
355,30,3320,Sugar,66,kg,Ethiopia,2025-10-08,WH-004
356,4,4491,Lentils,43,kg,Kenya,2026-03-15,WH-001
357,21,4157,Maize Flour,80,kg,Somalia,2026-07-18,WH-001
358,2,1198,Beans,91,kg,Ethiopia,2025-09-07,WH-001
359,21,2944,Lentils,10,kg,Kenya,2025-12-23,WH-004
360,25,1020,Lentils,69,kg,Ethiopia,2025-12-07,WH-003
361,28,4567,Salt,89,kg,Uganda,2026-06-02,WH-001
362,14,736,Sugar,8,kg,Kenya,2026-04-20,WH-001
363,18,2708,Sugar,42,kg,Kenya,2024-12-14,WH-003
364,24,1568,Beans,41,kg,Kenya,2025-04-19,WH-002
365,7,901,Cooking Oil,36,kg,South Sudan,2024-12-09,WH-003
366,22,3661,Beans,74,kg,Uganda,2025-07-18,WH-001
367,28,4369,Maize Flour,44,kg,Uganda,2025-09-26,WH-003
368,26,4905,Lentils,41,kg,South Sudan,2026-05-18,WH-004
369,25,4675,Rice,55,kg,Kenya,2024-12-29,WH-001
370,28,4303,Sugar,5,kg,Kenya,2025-10-19,WH-002
371,21,3937,Rice,36,kg,Uganda,2026-02-06,WH-001
372,23,4986,Beans,16,kg,Kenya,2026-03-03,WH-002
373,26,241,Lentils,72,kg,Ethiopia,2024-12-08,WH-004
374,17,2041,Rice,12,kg,Somalia,2026-05-26,WH-003
375,16,2032,Lentils,34,kg,South Sudan,2025-03-25,WH-001
376,11,143,Maize Flour,38,kg,Ethiopia,2025-12-13,WH-001
377,28,2475,Rice,8,kg,Ethiopia,2026-06-23,WH-003
378,1,3392,Beans,68,kg,Ethiopia,2024-10-06,WH-003
379,2,725,Salt,43,kg,Somalia,2024-08-05,WH-002
380,14,2770,Salt,3,kg,Somalia,2025-08-12,WH-003
381,4,2369,Maize Flour,8,kg,South Sudan,2025-10-26,WH-001
382,2,2149,Lentils,60,kg,Ethiopia,2025-05-12,WH-004
383,15,4859,Lentils,47,kg,Somalia,2026-05-30,WH-003
384,5,1595,Rice,58,kg,Ethiopia,2024-09-04,WH-004
385,10,4583,Lentils,63,kg,Uganda,2025-04-06,WH-001
386,10,2965,Rice,22,kg,South Sudan,2026-06-26,WH-004
387,14,776,Maize Flour,29,kg,Somalia,2025-05-10,WH-003
388,30,4941,Rice,41,kg,Kenya,2025-12-10,WH-003
389,14,1627,Salt,91,kg,South Sudan,2026-04-29,WH-002
390,13,1086,Lentils,11,kg,Kenya,2025-06-11,WH-001
391,22,2342,Beans,32,kg,Somalia,2025-07-19,WH-004
392,23,4368,Cooking Oil,60,kg,Kenya,2026-01-23,WH-001
393,17,4561,Beans,82,kg,Somalia,2025-12-19,WH-004
394,19,4322,Rice,21,kg,Somalia,2025-11-03,WH-002
395,28,234,Salt,78,kg,Uganda,2025-06-03,WH-003
396,26,471,Lentils,51,kg,South Sudan,2026-02-23,WH-004
397,27,496,Maize Flour,74,kg,South Sudan,2025-05-14,WH-001
398,17,4213,Lentils,81,kg,Uganda,2025-09-05,WH-003
399,3,4071,Cooking Oil,91,kg,Kenya,2024-11-28,WH-002
400,24,1985,Maize Flour,3,kg,Somalia,2025-09-28,WH-002
401,25,2706,Sugar,10,kg,Kenya,2024-11-05,WH-004
402,18,4034,Cooking Oil,55,kg,Kenya,2026-04-22,WH-001
