funding_id,project_id,donor_id,approved_budget,amount_spent,remaining_budget,currency,fiscal_year
38,8,8,279582.78,73477.03,206105.75000000003,USD,2024
39,14,7,171039.89,57944.56,113095.33000000002,EUR,2024
40,19,1,37792.73,14266.08,23526.65,USD,2023
41,3,1,67831.33,16013.49,51817.840000000004,USD,2025
42,13,1,265301.16,62143.01,203158.14999999997,EUR,2023
43,22,1,56204.37,18352.36,37852.01,EUR,2025
44,12,6,258723.36,227032.93,31690.429999999993,EUR,2023
45,6,8,188553.3,139696.79,48856.50999999998,EUR,2023
46,22,2,111843.06,59164.4,52678.659999999996,EUR,2025
47,20,4,456916.81,446216.95,10699.859999999986,EUR,2024
48,21,5,121177.97,18829.7,102348.27,USD,2023
49,26,1,332791.31,89978.85,242812.46,USD,2023
50,27,4,111098.46,94271.82,16826.64,EUR,2023
51,23,1,498706.2,51380.73,447325.47000000003,USD,2025
52,24,4,411670.47,252122.95,159547.51999999996,USD,2024
53,11,7,375484.65,348302.26,27182.390000000014,EUR,2024
54,13,7,23333.85,1109.35,22224.5,USD,2024
55,9,3,327292.52,114849.39,212443.13,EUR,2024
56,27,8,392520.72,186120.59,206400.12999999998,EUR,2023
57,10,1,257492.31,95681.55,161810.76,USD,2023
58,11,8,175788.96,121970.54,53818.42,EUR,2024
59,27,5,69942.33,13745.57,56196.76,EUR,2024
60,13,3,321649.87,275703.51,45946.359999999986,EUR,2024
61,18,8,486585.52,317792.02,168793.5,EUR,2025
62,4,5,316408.77,211229.18,105179.59000000003,EUR,2023
63,18,7,130400.67,46776.56,83624.11,EUR,2023
64,17,1,360185.87,153126.57,207059.3,EUR,2024
65,16,7,499113.58,128508.86,370604.72000000003,USD,2024
66,5,4,204278.8,28418.78,175860.02,EUR,2025
67,28,5,316715.57,153938.2,162777.37,USD,2025
68,7,5,95799.91,7376.93,88422.98000000001,EUR,2023
69,18,5,132810.14,84320.44,48489.70000000001,EUR,2023
70,4,7,334760.68,122506.41,212254.27,USD,2023
71,5,2,70523.43,58069.14,12454.289999999994,USD,2023
72,15,5,309526.51,238208.39,71318.12,EUR,2025
73,7,3,407222.5,149481.39,257741.11,EUR,2025
74,27,5,386629.94,58370.14,328259.8,EUR,2023
75,9,1,19611.11,1482.69,18128.420000000002,EUR,2023
76,10,3,71300.03,7422.21,63877.82,EUR,2025
77,20,4,326633.06,149357.47,177275.59,EUR,2025
78,12,6,142223.84,51238.32,90985.51999999999,EUR,2025
79,25,5,148134.46,99279.92,48854.53999999999,USD,2024
80,1,6,487432.29,44745.18,442687.11,USD,2025
81,18,4,409110.51,378755.37,30355.140000000014,USD,2025
82,10,5,104159.82,13030.75,91129.07,EUR,2025
83,10,6,107297.54,66516.49,40781.04999999999,USD,2024
84,25,8,422263.01,56771.85,365491.16000000003,EUR,2023
85,30,5,343825.71,279490.8,64334.91000000003,USD,2023
86,25,7,287185.58,55816.43,231369.15000000002,EUR,2024
87,24,6,244491.81,22470.96,222020.85,EUR,2025
88,18,3,192727.8,146386.06,46341.73999999999,USD,2023
89,8,5,83199.4,38387.74,44811.659999999996,EUR,2025
90,23,3,402656.6,351265.12,51391.47999999998,EUR,2025
91,30,6,226218.25,139911.39,86306.85999999999,USD,2025
92,13,6,48320.36,44784.67,3535.6900000000023,EUR,2025
93,19,3,218891.46,71866.78,147024.68,EUR,2025
94,10,2,379826.83,276983.63,102843.20000000001,EUR,2023
95,5,4,208516.91,126533.82,81983.09,USD,2024
96,30,6,459209.02,138726.1,320482.92000000004,USD,2025
97,16,4,9776.3,4913.83,4862.469999999999,USD,2025
98,20,3,466784.95,383399.78,83385.16999999998,EUR,2023
99,4,5,196721.47,172486.46,24235.01000000001,EUR,2025
100,21,3,346345.8,181009.01,165336.78999999998,EUR,2025
101,8,1,269524.63,95205.65,174318.98,EUR,2024
102,27,7,96575.93,48219.91,48356.01999999999,USD,2025
103,10,5,293117.13,198059.12,95058.01000000001,USD,2025
104,12,2,84121.73,52214.85,31906.879999999997,EUR,2024
105,13,8,213642.19,110737.41,102904.78,USD,2025
106,17,4,386754.0,383631.23,3122.7700000000186,EUR,2025
107,25,7,239565.67,101608.0,137957.67,EUR,2024
108,24,1,176215.91,98932.26,77283.65000000001,EUR,2025
109,12,6,161863.21,13591.62,148271.59,USD,2024
110,7,2,32686.06,7741.88,24944.18,EUR,2025
111,9,3,222281.52,133202.24,89079.28,USD,2024
112,17,5,23969.48,19774.19,4195.290000000001,EUR,2023
113,27,7,342723.85,324906.47,17817.380000000005,EUR,2025
114,9,8,245732.53,169357.96,76374.57,USD,2024
115,18,3,403448.03,192425.53,211022.50000000003,EUR,2023
116,5,3,18630.79,10913.94,7716.85,USD,2024
117,18,4,271595.52,198264.9,73330.62000000002,USD,2024
118,11,7,160584.74,159994.41,590.3299999999872,USD,2023
119,14,7,74887.15,21081.39,53805.759999999995,USD,2023
120,18,4,220590.34,15050.97,205539.37,EUR,2023
121,29,1,386503.97,379976.1,6527.869999999995,USD,2024
122,21,3,412119.26,162602.65,249516.61000000002,USD,2025
123,1,3,100024.27,61157.07,38867.200000000004,EUR,2023
124,25,5,37851.35,29208.84,8642.509999999998,EUR,2023
125,3,1,372218.55,363976.88,8241.669999999984,USD,2024
126,1,4,274140.16,118114.81,156025.34999999998,USD,2024
127,26,2,396622.84,5072.74,391550.10000000003,USD,2023
128,25,5,164680.98,132727.54,31953.440000000002,EUR,2023
129,7,1,206553.94,61859.44,144694.5,USD,2023
130,13,3,252000.49,49626.77,202373.72,EUR,2024
131,6,2,409431.82,365883.69,43548.130000000005,USD,2025
132,22,7,469856.07,256544.0,213312.07,USD,2024
133,7,6,332971.34,189959.72,143011.62000000002,EUR,2023
134,26,2,109760.26,21149.39,88610.87,EUR,2024
135,18,1,357562.76,332135.12,25427.640000000014,USD,2024
136,23,5,271007.62,29136.94,241870.68,USD,2025
137,4,3,93138.84,9107.02,84031.81999999999,EUR,2023
138,3,3,352588.57,146751.51,205837.06,USD,2025
139,20,2,277306.53,57574.98,219731.55000000002,USD,2024
140,13,8,274212.84,205755.99,68456.85000000003,EUR,2023
141,16,7,403679.08,28457.18,375221.9,USD,2025
142,30,1,43670.73,15349.69,28321.04,EUR,2025
143,19,2,293189.21,145377.89,147811.32,USD,2023
144,2,2,456333.47,266068.52,190264.94999999995,USD,2024
145,27,1,190534.07,62588.44,127945.63,EUR,2023
146,1,8,151706.9,138399.65,13307.25,USD,2025
147,11,8,176322.66,43683.66,132639.0,USD,2025
148,26,5,138211.75,82955.45,55256.3,EUR,2024
149,3,8,28274.62,20457.99,7816.629999999997,EUR,2023
150,19,5,285695.83,189827.63,95868.20000000001,EUR,2025
151,15,1,153174.51,141583.68,11590.830000000016,USD,2025
152,30,5,238197.98,200149.44,38048.54000000001,EUR,2024
153,24,6,482683.37,235182.69,247500.68,USD,2023
154,5,1,255146.24,193519.65,61626.59,EUR,2024
155,25,2,133347.9,38534.26,94813.63999999998,EUR,2025
156,5,6,159636.01,49673.67,109962.34000000001,EUR,2025
157,6,4,22368.62,42.66,22325.96,EUR,2025
158,3,7,195115.07,66527.86,128587.21,USD,2023
159,22,2,274417.38,46580.52,227836.86000000002,EUR,2024
160,21,4,439125.31,306634.19,132491.12,USD,2024
161,1,7,79418.28,24982.77,54435.509999999995,USD,2024
162,8,7,439095.76,392275.27,46820.48999999999,EUR,2025
163,8,6,126177.14,43016.85,83160.29000000001,EUR,2024
164,10,1,469519.14,153853.04,315666.1,EUR,2024
165,9,4,200709.57,147084.95,53624.619999999995,EUR,2024
166,15,4,25408.25,7547.4,17860.85,USD,2023
167,9,3,443367.71,248360.52,195007.19000000003,EUR,2025
168,21,7,39562.79,20207.8,19354.99,EUR,2024
169,7,4,404091.59,53051.73,351039.86000000004,USD,2024
170,12,5,229064.09,177985.37,51078.72,USD,2024
171,11,3,204073.45,107988.33,96085.12000000001,EUR,2024
172,5,1,157397.26,13178.01,144219.25,EUR,2023
173,9,1,186967.38,95292.71,91674.67,USD,2023
174,5,4,242921.47,192485.07,50436.399999999994,EUR,2024
175,3,2,270397.14,98191.06,172206.08000000002,EUR,2024
176,23,4,488920.15,294711.27,194208.88,EUR,2025
177,19,6,99228.26,42964.94,56263.31999999999,USD,2023
178,11,5,350028.86,281630.35,68398.51000000001,USD,2024
179,1,3,490971.11,107582.57,383388.54,EUR,2024
180,20,8,465054.06,388806.05,76248.01000000001,EUR,2024
181,21,1,250623.21,73794.53,176828.68,EUR,2025
182,29,3,184814.26,118680.57,66133.69,USD,2024
183,16,5,399997.36,306307.11,93690.25,USD,2023
184,2,8,498931.62,223165.24,275766.38,USD,2025
185,14,6,77429.6,2814.29,74615.31000000001,USD,2024
186,12,7,54018.29,12834.25,41184.04,EUR,2025
187,6,2,353079.48,24864.19,328215.29,EUR,2024
188,27,3,209647.43,45855.51,163791.91999999998,EUR,2023
189,29,8,176604.01,71317.02,105286.99,USD,2024
190,15,1,250087.81,119907.04,130180.77,EUR,2023
191,3,4,64028.9,46735.77,17293.130000000005,EUR,2023
192,13,1,431289.26,51512.51,379776.75,EUR,2024
193,11,3,284550.46,214372.51,70177.95000000001,USD,2025
194,15,3,84838.02,51005.42,33832.600000000006,USD,2023
195,17,6,186094.74,96510.9,89583.84,EUR,2025
196,20,2,370317.72,198338.72,171978.99999999997,USD,2024
197,29,2,312813.01,34647.83,278165.18,EUR,2025
198,28,6,260265.13,86278.11,173987.02000000002,EUR,2024
199,5,5,318594.3,172477.95,146116.34999999998,USD,2024
200,3,5,275221.59,121596.31,153625.28000000003,USD,2025
201,23,1,461386.69,397668.12,63718.57000000001,USD,2024
202,22,6,465271.92,257606.48,207665.43999999997,USD,2025
203,3,8,429151.48,408201.63,20949.849999999977,EUR,2025
204,23,6,259978.25,109702.11,150276.14,EUR,2024
205,1,7,196872.88,20304.99,176567.89,USD,2023
206,20,2,32619.39,11198.24,21421.15,EUR,2025
207,3,2,261501.19,34158.61,227342.58000000002,EUR,2025
208,27,2,160310.54,100413.66,59896.880000000005,EUR,2025
209,15,4,449961.36,59488.52,390472.83999999997,USD,2024
210,18,1,340126.28,139113.77,201012.51000000004,EUR,2025
211,16,2,185650.68,163223.56,22427.119999999995,EUR,2023
212,7,5,262894.28,42310.33,220583.95,USD,2024
213,29,1,370772.24,278620.11,92152.13,EUR,2024
214,27,4,282353.98,242991.94,39362.03999999998,USD,2025
215,28,7,263432.93,215981.94,47450.98999999999,USD,2025
216,27,5,135028.34,66032.59,68995.75,USD,2025
217,13,2,450900.25,276552.57,174347.68,EUR,2023
218,19,4,200126.97,151937.35,48189.619999999995,USD,2025
219,30,8,110845.22,18825.32,92019.9,USD,2024
220,8,6,120593.06,63116.82,57476.24,USD,2025
221,28,2,219012.98,154324.3,64688.68000000002,EUR,2025
222,27,7,120756.05,42243.88,78512.17000000001,USD,2024
223,6,8,61333.11,33567.34,27765.770000000004,USD,2023
224,10,3,349462.79,244114.28,105348.50999999998,USD,2023
225,6,5,431733.22,292097.56,139635.65999999997,EUR,2024
226,27,5,362109.78,252439.74,109670.04000000004,USD,2025
227,3,2,479108.93,384674.62,94434.31,EUR,2025
228,21,6,248019.32,20695.92,227323.40000000002,USD,2023
229,14,2,310583.69,12051.39,298532.3,EUR,2023
230,20,1,233777.64,50125.71,183651.93000000002,USD,2025
231,18,8,406324.62,377556.52,28768.099999999977,EUR,2025
232,3,7,459995.22,206874.33,253120.88999999998,USD,2023
233,9,2,427971.26,40471.43,387499.83,USD,2025
234,18,2,143096.15,20151.02,122945.12999999999,USD,2024
235,13,2,128829.01,125126.91,3702.0999999999913,USD,2024
236,7,5,276595.67,233763.13,42832.53999999998,USD,2023
237,29,6,98217.01,69310.37,28906.64,EUR,2023
238,26,4,81521.99,42847.67,38674.32000000001,USD,2025
239,10,5,482280.55,296888.72,185391.83000000002,USD,2025
240,25,4,481933.8,77701.32,404232.48,EUR,2025
241,4,1,179111.41,17082.25,162029.16,EUR,2025
242,21,8,93386.05,7437.54,85948.51000000001,USD,2023
243,19,4,38720.47,13397.6,25322.870000000003,USD,2024
244,18,1,348177.47,241811.71,106365.75999999998,USD,2025
245,17,8,132226.05,32426.93,99799.12,USD,2024
246,14,8,344727.91,5176.47,339551.44,USD,2025
247,26,6,54223.27,9091.05,45132.22,USD,2025
248,22,6,482033.94,328522.0,153511.94,USD,2023
249,23,3,45772.02,30136.85,15635.169999999998,USD,2025
250,21,8,232390.86,119955.95,112434.90999999999,USD,2023
251,7,3,38618.07,18431.44,20186.63,EUR,2024
252,11,2,168531.31,110554.87,57976.44,EUR,2024
253,2,1,453242.48,20618.76,432623.72,EUR,2023
254,22,6,210878.94,201535.81,9343.130000000005,USD,2025
255,2,2,387644.33,95128.82,292515.51,EUR,2023
256,17,3,209330.74,54902.57,154428.16999999998,EUR,2025
257,2,2,491436.3,340785.42,150650.88,USD,2024
258,28,8,360744.34,97813.6,262930.74,EUR,2024
259,9,7,79395.85,30832.59,48563.26000000001,USD,2025
260,27,7,165076.93,142777.32,22299.609999999986,EUR,2025
261,28,8,259262.08,152225.56,107036.51999999999,USD,2023
262,28,5,263989.52,105834.26,158155.26,USD,2024
263,12,5,211459.35,75745.77,135713.58000000002,EUR,2025
264,10,5,249639.54,196024.63,53614.91,EUR,2023
265,2,2,176593.45,115282.86,61310.59000000001,USD,2023
266,8,6,75914.85,14663.78,61251.07000000001,USD,2024
267,8,6,361687.33,325796.05,35891.28000000003,USD,2024
268,8,2,123766.09,60597.93,63168.159999999996,EUR,2024
269,20,3,279417.29,162512.71,116904.57999999999,USD,2025
270,27,3,369253.24,145494.62,223758.62,EUR,2024
271,13,8,36413.88,7036.39,29377.489999999998,EUR,2024
272,15,5,100283.26,56889.31,43393.95,EUR,2023
273,9,3,201037.82,171859.12,29178.70000000001,EUR,2023
274,10,4,245010.52,87908.39,157102.13,USD,2023
275,19,2,481498.3,167635.1,313863.19999999995,USD,2025
276,14,2,148795.05,90868.85,57926.19999999998,EUR,2025
277,18,4,248131.93,90271.4,157860.53,USD,2025
278,5,7,349737.2,335716.81,14020.390000000014,USD,2024
279,9,7,343119.91,300788.46,42331.44999999995,EUR,2023
280,26,3,304615.27,232556.99,72058.28000000003,EUR,2025
281,17,4,131864.97,49639.1,82225.87,USD,2023
282,16,5,305740.01,295040.72,10699.290000000037,EUR,2023
283,7,1,249450.49,87930.63,161519.86,USD,2024
284,21,8,295532.42,33520.34,262012.08,EUR,2023
285,24,2,163693.72,126912.01,36781.71000000001,USD,2023
286,26,3,276186.11,107606.83,168579.27999999997,USD,2024
287,25,7,292325.74,142203.96,150121.78,USD,2025
288,18,7,421619.25,226107.91,195511.34,USD,2025
289,15,1,256031.55,199262.09,56769.45999999999,EUR,2024
290,26,4,454351.33,369852.9,84498.43,EUR,2023
291,1,1,461410.0,13780.32,447629.68,EUR,2023
292,13,8,138281.59,111357.12,26924.47,EUR,2025
293,16,3,383881.55,357291.14,26590.409999999974,EUR,2025
294,27,4,204013.82,161362.97,42650.850000000006,USD,2023
295,27,7,318440.95,227027.12,91413.83000000002,EUR,2024
296,11,7,420659.76,193907.36,226752.40000000002,EUR,2023
297,19,6,384014.05,85977.13,298036.92,EUR,2023
298,20,7,285044.42,148507.69,136536.72999999998,USD,2024
299,11,6,40393.3,38038.67,2354.6300000000047,EUR,2024
300,28,6,211065.42,82603.09,128462.33000000002,EUR,2024
301,23,3,388396.56,97955.78,290440.78,EUR,2023
302,19,2,187462.6,25159.58,162303.02000000002,EUR,2024
303,26,6,7566.04,7403.05,162.98999999999978,USD,2024
304,23,8,164143.55,84810.84,79332.70999999999,EUR,2025
305,5,3,390570.94,191185.31,199385.63,EUR,2024
306,29,1,283867.55,269403.09,14464.459999999963,EUR,2023
307,14,1,52397.21,1475.37,50921.84,USD,2024
308,19,2,124556.51,51357.24,73199.26999999999,EUR,2024
309,18,2,101342.65,79962.03,21380.619999999995,EUR,2023
310,4,6,72790.02,11931.37,60858.65,EUR,2024
311,8,2,493291.37,22832.4,470458.97,USD,2023
312,13,8,397456.52,82370.15,315086.37,EUR,2025
313,29,7,123074.07,5816.31,117257.76000000001,EUR,2025
314,2,6,150740.41,4304.72,146435.69,EUR,2023
315,8,8,405509.76,294974.68,110535.08000000002,USD,2024
316,4,5,243671.02,131707.18,111963.84,EUR,2025
317,27,4,401412.84,303763.18,97649.66000000003,EUR,2023
318,24,6,416209.71,195639.87,220569.84000000003,EUR,2025
319,6,4,19087.54,11149.4,7938.140000000001,EUR,2024
320,18,1,53069.6,19958.19,33111.41,USD,2023
321,3,3,454082.23,337053.18,117029.04999999999,EUR,2025
322,22,4,333510.65,304368.56,29142.090000000026,USD,2024
323,21,6,193184.51,68491.56,124692.95000000001,EUR,2024
324,5,6,353227.32,288294.94,64932.380000000005,USD,2025
325,28,3,46387.15,8472.15,37915.0,USD,2023
326,23,7,312972.58,1345.43,311627.15,EUR,2024
327,5,7,20253.63,20164.53,89.10000000000218,EUR,2023
328,7,5,311563.78,189336.91,122226.87000000002,EUR,2025
329,8,7,137061.08,110910.81,26150.26999999999,USD,2024
330,12,8,222012.02,57699.25,164312.77,EUR,2023
331,10,5,193450.42,99088.64,94361.78000000001,EUR,2024
332,20,3,268547.35,63140.19,205407.15999999997,USD,2024
333,29,5,218916.4,75802.44,143113.96,EUR,2025
334,26,4,144433.1,69820.61,74612.49,EUR,2024
335,5,7,184024.62,24551.61,159473.01,USD,2023
336,23,6,443961.97,180275.46,263686.51,EUR,2024
337,19,5,337990.5,186916.7,151073.8,EUR,2025
338,16,2,330814.74,107817.11,222997.63,USD,2024
339,21,8,348330.64,58567.32,289763.32,USD,2023
340,14,6,222452.04,59154.85,163297.19,EUR,2025
341,24,3,397444.35,252285.55,145158.8,USD,2025
342,29,1,461761.98,310701.46,151060.51999999996,USD,2025
343,6,6,89501.49,67370.43,22131.060000000012,USD,2024
344,5,1,328569.54,28269.97,300299.56999999995,USD,2023
345,30,1,139243.32,22141.35,117101.97,USD,2023
346,30,3,469224.84,171027.62,298197.22000000003,EUR,2025
347,5,7,90626.5,49815.65,40810.85,EUR,2024
348,13,4,371127.59,69673.59,301454.0,USD,2023
349,29,4,71594.48,6532.93,65061.549999999996,USD,2025
350,8,5,340610.75,190350.43,150260.32,USD,2025
351,10,8,122062.23,54870.24,67191.98999999999,EUR,2023
352,8,7,447895.31,24074.68,423820.63,EUR,2023
353,17,1,371618.69,302036.52,69582.16999999998,EUR,2025
354,24,1,84054.62,62884.21,21170.409999999996,EUR,2025
355,8,6,322116.88,105357.26,216759.62,USD,2024
356,29,6,46395.65,38543.64,7852.010000000002,USD,2025
357,18,3,184175.61,149345.62,34829.98999999999,USD,2024
358,12,1,474597.05,123919.07,350677.98,EUR,2023
359,14,7,290119.61,170386.42,119733.18999999997,EUR,2023
360,7,8,411889.63,167688.22,244201.41,USD,2025
361,22,1,386373.51,65866.94,320506.57,USD,2024
362,7,1,298310.55,58954.06,239356.49,EUR,2024
363,3,5,473837.0,302460.32,171376.68,USD,2023
364,20,7,77821.6,8040.08,69781.52,EUR,2025
365,21,1,281865.94,105002.64,176863.3,USD,2024
366,18,6,21386.46,9126.34,12260.119999999999,EUR,2025
367,25,8,445217.99,420604.43,24613.559999999998,EUR,2023
368,19,3,329526.82,196137.99,133388.83000000002,EUR,2025
369,23,6,426276.12,156665.03,269611.08999999997,USD,2023
370,15,8,182868.78,123576.29,59292.490000000005,EUR,2025
371,3,5,73649.94,64967.18,8682.760000000002,EUR,2025
372,20,4,26699.36,14329.69,12369.67,USD,2024
373,20,8,183227.8,37311.42,145916.38,USD,2024
374,15,6,269379.96,162856.1,106523.86000000002,EUR,2024
375,18,1,273407.99,254381.0,19026.98999999999,EUR,2025
376,23,6,286994.26,92277.39,194716.87,EUR,2023
377,2,6,7806.25,727.35,7078.9,EUR,2025
378,2,7,37551.34,37453.14,98.19999999999709,USD,2025
379,26,5,95649.54,71018.77,24630.76999999999,USD,2025
380,20,1,133668.4,44181.84,89486.56,USD,2023
381,29,8,133695.14,37562.31,96132.83000000002,USD,2025
382,26,3,315729.76,49456.37,266273.39,EUR,2025
383,26,6,160908.7,27961.63,132947.07,USD,2023
384,25,6,472294.02,385448.42,86845.60000000003,EUR,2025
385,17,6,332137.27,175689.87,156447.40000000002,USD,2023
386,27,6,104518.78,3620.87,100897.91,USD,2025
387,23,2,359265.43,212721.72,146543.71,USD,2025
388,1,5,449908.12,337618.09,112290.02999999997,USD,2024
389,26,8,332872.53,148672.3,184200.23000000004,EUR,2023
390,6,7,332836.61,128351.62,204484.99,USD,2025
391,9,2,324960.87,214419.08,110541.79000000001,EUR,2023
392,18,6,484802.82,274627.77,210175.05,USD,2024
393,8,6,371036.45,335407.49,35628.96000000002,USD,2024
394,30,7,239180.78,26437.51,212743.27,EUR,2024
395,29,2,236462.14,101383.96,135078.18,USD,2025
396,7,4,22414.46,19509.8,2904.66,USD,2024
397,23,4,267660.76,64739.64,202921.12,EUR,2025
398,21,1,337213.45,237595.78,99617.67000000001,USD,2025
399,7,7,401054.38,342926.94,58127.44,EUR,2024
400,27,6,51483.21,45161.92,6321.290000000001,USD,2024
401,12,1,347998.65,237966.36,110032.29000000004,EUR,2023
402,6,5,83116.7,75057.8,8058.899999999994,EUR,2024
403,17,6,350197.58,222700.71,127496.87000000002,USD,2023
404,27,3,433084.76,369545.91,63538.850000000035,EUR,2023
405,5,2,173938.31,96926.71,77011.59999999999,USD,2023
406,26,6,431939.44,293200.81,138738.63,EUR,2023
407,29,8,470240.08,4579.43,465660.65,EUR,2023
408,10,7,212096.31,148046.46,64049.850000000006,EUR,2024
409,18,4,11888.01,3903.41,7984.6,EUR,2025
410,29,5,225460.04,160743.63,64716.41,USD,2023
411,18,7,352065.12,92719.51,259345.61,EUR,2025
412,10,4,5895.41,1406.95,4488.46,EUR,2023
413,8,2,487028.5,294546.25,192482.25,EUR,2023
414,5,1,257450.21,12194.74,245255.47,EUR,2024
415,25,5,355320.16,336296.02,19024.139999999956,USD,2025
416,9,6,463646.88,446422.31,17224.570000000007,EUR,2024
417,24,6,334375.72,163691.08,170684.63999999998,USD,2023
418,17,1,106420.41,15761.94,90658.47,USD,2025
419,3,5,182286.67,177496.59,4790.080000000016,EUR,2025
420,21,4,184754.78,96408.83,88345.95,USD,2024
421,1,8,116274.68,29834.04,86440.63999999998,USD,2023
422,15,7,82602.32,56467.42,26134.90000000001,EUR,2023
423,3,6,406697.08,297859.92,108837.16000000003,EUR,2023
424,12,5,83664.62,46105.87,37558.74999999999,EUR,2023
425,26,6,389683.9,340608.9,49075.0,EUR,2024
426,16,8,286196.8,7171.15,279025.64999999997,USD,2025
427,8,4,438781.52,165881.67,272899.85,USD,2023
428,18,4,151065.18,140165.86,10899.320000000007,USD,2025
429,28,5,47156.73,34563.05,12593.68,EUR,2025
430,2,3,143482.47,8207.89,135274.58000000002,EUR,2024
431,16,3,302051.76,116534.95,185516.81,USD,2024
432,30,5,344827.06,283939.8,60887.26000000001,USD,2025
433,29,3,329687.3,148607.81,181079.49,USD,2023
434,15,8,63435.7,55322.99,8112.709999999999,USD,2024
435,9,3,490449.13,487311.51,3137.6199999999953,EUR,2023
436,20,8,422209.22,241097.92,181111.29999999996,EUR,2024
437,6,1,338006.9,105312.1,232694.80000000002,EUR,2023
438,17,1,351281.45,63199.02,288082.43,EUR,2024
439,9,2,459991.69,66960.15,393031.54000000004,USD,2025
440,8,8,223514.95,99116.18,124398.77000000002,USD,2024
441,14,1,462624.33,192240.65,270383.68000000005,USD,2024
442,12,1,412238.23,109708.36,302529.87,EUR,2025
443,2,4,392139.89,46165.38,345974.51,USD,2023
444,15,3,5470.53,5276.87,193.65999999999985,EUR,2023
445,18,6,231647.79,156064.16,75583.63,USD,2024
446,7,4,397879.23,350096.4,47782.82999999996,EUR,2024
447,3,5,277521.81,185092.46,92429.35,USD,2025
448,19,6,160792.65,29417.07,131375.58,USD,2025
449,17,2,313697.13,238029.88,75667.25,USD,2025
450,4,8,380267.58,198942.69,181324.89,EUR,2024
451,17,3,471709.7,423435.72,48273.98000000004,EUR,2025
452,10,4,86024.42,20001.52,66022.9,USD,2023
453,15,1,252584.77,167370.43,85214.34,USD,2024
454,22,1,449169.37,208478.45,240690.91999999998,USD,2024
455,11,3,143592.94,85974.37,57618.57000000001,EUR,2025
456,15,8,7336.26,2009.06,5327.200000000001,USD,2023
457,4,2,29763.37,13791.75,15971.619999999999,USD,2023
458,25,5,114208.99,50377.89,63831.100000000006,EUR,2023
459,18,2,215493.41,30702.49,184790.92,USD,2023
460,24,5,413425.88,312469.91,100955.97000000003,EUR,2023
461,4,7,431668.89,113406.78,318262.11,USD,2023
462,8,4,432362.13,28386.3,403975.83,USD,2025
463,26,3,206421.55,22273.54,184148.00999999998,USD,2025
464,14,7,228655.3,66569.64,162085.65999999997,EUR,2025
465,14,4,214185.31,97032.03,117153.28,USD,2023
466,22,2,419551.72,325970.0,93581.71999999997,EUR,2023
467,10,7,256339.77,209396.54,46943.22999999998,USD,2025
468,21,5,251211.26,120794.5,130416.76000000001,EUR,2024
469,23,8,423070.23,217577.67,205492.55999999997,EUR,2024
470,21,8,164599.48,2525.42,162074.06,USD,2025
471,21,3,42755.84,20786.27,21969.569999999996,USD,2023
472,18,3,212624.94,3963.17,208661.77,USD,2023
473,11,7,444113.75,180463.5,263650.25,USD,2023
474,24,7,272107.81,237580.96,34526.850000000006,EUR,2023
475,18,3,120104.41,79346.64,40757.770000000004,USD,2025
476,25,4,407736.27,308989.75,98746.52000000002,USD,2024
